linha,texto,categoria,comentarios
22, Atos terroristas de indescritível barbárie provocam reações e suscitam posturas que têm o potencial de afetar os princípios do multilateralismo,11,Sem ambiguidade
23, O risco de guerra volta a pairar sobre o mundo,11,Sem ambiguidade
24," Tudo isso se reflete em crises econômicas, financeiras e políticas, que tendem a ser mais graves nos países pobres",4,Sem ambiguidade
25, Nossa região - a América do Sul - também sofre os efeitos desses abalos,24,América do Sul
26, Senhoras e Senhores,24,Exortação
27," O aumento das exportações, a busca de tecnologias e investimentos produtivos serão elementos importantes da estratégia nacional de crescimento e da redução da vulnerabilidade externa",4,Desenvolvimento
28," Participaremos empenhadamente das diversas negociações comerciais movidos pela busca de vantagens concretas, sem constrangimento de nos apresentarmos como país em desenvolvimento e de reivindicarmos tratamento justo",4,Desenvolvimento
29," Saberemos nos articular, sem preconceitos, com as nações que compartilham conosco interesses e preocupações",4,Desenvolvimento
30, Atuaremos em cada momento norteados pela necessidade de assegurar a compatibilidade do que está sendo proposto com as políticas nacionais,24,Compatibilidade com nível doméstico
31," Lutaremos para preservar o espaço de flexibilidade para que possamos decidir, soberanamente, qual o modelo de desenvolvimento que mais nos convém",4,Autonomia para desenvolvimento
32,Combateremos práticas protecionistas que tanto prejudicam nossa agricultura e nossa indústria,4,Sem ambiguidade
33," Trataremos de ampliar os mercados consumidores de bens primários ou semi-elaborados, que continuam a ter um papel importante em nossa pauta",4,Sem ambiguidade
34, Mas daremos ênfase especial àqueles bens e serviços de maior valor agregado e conteúdo de conhecimento,4,Sem ambiguidade
35," Para fazermos isso de forma sustentável, teremos que nos empenhar profundamente na verdadeira batalha pela eliminação de barreiras e subsídios que hoje distorcem brutalmente o comércio e privam os países em desenvolvimento de suas vantagens comparativas (as naturais ou aquelas obtidas através do esforço e engenho criativo)",4,Sem ambiguidade
36, É neste contexto de busca de oportunidades que vemos as grandes negociações comerciais em curso,4,Sem ambiguidade
37," Não queremos um Brasil fechado em si mesmo, imune aos ventos do progresso e da competição",4,Sem ambiguidade
38," Na ALCA, nas negociações MERCOSUL-União Européia e na Organização Mundial do Comércio trataremos de ampliar mercados para os produtos e serviços em que somos competitivos, procurando corrigir distorções do passado e evitando restrições excessivas à nossa capacidade de fomentar políticas sociais, ambientais, industriais e tecnológicas",3,Sem ambiguidade
39," Ainda que nada esteja acordado em definitivo, os pressupostos em que se baseiam estes processos de negociação vão muito além de meras rebaixas tarifárias",3,Sem ambiguidade
40, Envolvem aspectos normativos sobre praticamente todos os campos da atividade econômica,3,Sem ambiguidade
41," Por isso mesmo, devem ser analisados com cuidadosa atenção, sem prejulgamento",3,Sem ambiguidade
42," A despeito dos prazos desconfortavelmente estreitos de algumas dessas negociações, pretendemos discutir amplamente com empresários, trabalhadores e outros setores sociais e com o Congresso Nacional as posições que devemos tomar, tendo em vista a vasta gama de interesses envolvidos e as complexas articulações que se fazem necessárias, a começar no âmbito do MERCOSUL",2,"O Mercosul é apresentado como estágio de começo, por isso a categoria"
43," No Governo Lula, a América do Sul será nossa prioridade",2,Mercosul e América do Sul
44," O relacionamento com a Argentina é o pilar da construção do MERCOSUL, cuja vitalidade e dinamismo cuidaremos de resgatar",2,Mercosul e América do Sul
45," Reforçaremos as dimensões política e social do MERCOSUL, sem perder de vista a necessidade de enfrentar as dificuldades da agenda econômico-comercial, de acordo com um cronograma preciso",2,Mercosul e América do Sul
46," Temos que enfrentar com determinação as questões da Tarifa Externa Comum e da União Aduaneira, sem as quais a pretensão de negociar em conjunto com outros países e blocos é mera ilusão",2,Mercosul e América do Sul
47, Fundamental para a recuperação do MERCOSUL é a revitalização do Fórum Econômico-Social,2,Mercosul e América do Sul
48, Devemos impulsionar igualmente a Comissão Parlamentar Conjunta de modo a reforçar a participação da sociedade no processo de integração,2,Mercosul e América do Sul
49," Atribuiremos importância à construção de instituições comuns, de políticas sociais, de parcerias na área educacional e cultural, da livre circulação de pessoas e de mecanismos financeiros e monetários que promovam o comércio e a integração",2,Mercosul e América do Sul
50, Consideramos essencial aprofundar a integração entre os países da América do Sul nos mais diversos planos,2,Mercosul e América do Sul
51," A formação de um espaço econômico unificado, com base no livre comércio e em projetos de infra-estrutura, terá repercussões positivas tanto internamente quanto no relacionamento da região com o resto do mundo",2,Mercosul e América do Sul
52, Vários de nossos vizinhos vivem situações difíceis ou mesmo de crise,2,Mercosul e América do Sul
53, O processo de mudança democrática por que o Brasil está passando com o Governo Lula pode ser elemento de inspiração e estabilidade para toda a América do Sul,2,Mercosul e América do Sul
54," Respeitaremos zelosamente o princípio da não intervenção, da mesma forma que velaremos para que seja respeitado por outros",2,Mercosul e América do Sul
55," Mas não nos furtaremos a dar nossa contribuição para a solução de situações conflituosas, desde que convidados e quando considerarmos que poderemos ter um papel útil, tendo em conta o primado da democracia e da constitucionalidade",2,Mercosul e América do Sul
56," Uma América do Sul politicamente estável, socialmente justa e economicamente próspera é um objetivo a ser perseguido não só por natural solidariedade, mas em função do nosso próprio progresso e bem-estar",2,Mercosul e América do Sul
57, Com os Estados Unidos da América partilhamos valores e interesses,1,EUA
58," Pretendo explorar ao máximo nossa história de amizade, fortalecendo as bases para o entendimento construtivo e a parceria madura",1,EUA
59," O diálogo fluido com os Estados Unidos da América é de fundamental importância não só em questões econômico-comerciais do nosso interesse imediato, mas também para assegurarmos influência no encaminhamento dos grandes temas da agenda internacional, de forma compatível com nossas dimensões e valores",1,EUA
60, O Brasil manterá uma relação próxima e construtiva com a União Européia,1,UE
61, Reconhecemos a longa história de êxito da União Européia na construção da paz e da prosperidade pela via da integração,1,UE
62," No plano político, o diálogo com a União Européia e os países que a constituem é importante também com vistas a fortalecer os elementos de multipolaridade do sistema internacional",1,UE
63, A cooperação com o Japão e outros países desenvolvidos será também fortalecida,1,Países em desenvolvimento e as relações com os mesmos
64, Forjaremos alianças com grandes países em desenvolvimento,1,Países em desenvolvimento e as relações com os mesmos
65," Reforçaremos o diálogo com a China, a Rússia, a Índia, o México e a África do Sul, entre outros",1,Países em desenvolvimento e as relações com os mesmos
66," Desenvolveremos, inclusive por meio de parcerias com outros países e organizações, maior cooperação com os países africanos",1,Países em desenvolvimento e as relações com os mesmos
67," Angola e Moçambique, que passaram por prolongados conflitos internos, receberão atenção especial",1,Países em desenvolvimento e as relações com os mesmos
68," Valorizaremos a cooperação no âmbito da Comunidade dos Países de Língua Portuguesa (a CPLP), inclusive com o seu mais novo membro, o Timor Leste",3,CPLP
69," Nossa política externa não pode estar confinada a uma única região, nem pode ficar restrita a uma única dimensão",24,Sem categoria
70," O Brasil pode e deve contribuir para a construção de uma ordem mundial pacífica e solidária, fundada no Direito e nos princípios do multilateralismo, consciente do seu peso demográfico, territorial, econômico e cultural, e de ser uma grande democracia em processo de transformação social",11,Ordem mundial pacífica
71," O Brasil atuará, sem inibições, nos vários foros internacionais, regionais e globais",3,Atuação em fóruns
72, Incentivaremos a promoção universal dos direitos humanos e o combate a todas as formas de discriminação,6,Sem ambiguidade
73, Lutaremos para viabilizar o desenvolvimento sustentável e para eliminar a pobreza,6,Sem ambiguidade
74," Apoiaremos a cooperação internacional para o meio ambiente, em especial a implementação do Protocolo de Kyoto e da Convenção de Biodiversidade",7,Sem ambiguidade
75," Promoveremos o banimento das armas de destruição em massa e daremos impulso aos esforços pelo desarmamento, sobretudo o nuclear",11,Sem ambiguidade
76," Participaremos da luta contra o terrorismo e o crime organizado, com base na cooperação e no Direito internacionais",11,Sem ambiguidade
77, A solução pacífica de controvérsias é um dos pilares da diplomacia brasileira,11,Sem ambiguidade
78," Após um encaminhamento que despertou tantas esperanças, é triste ver a deterioração da situação no Oriente Médio, onde vivem populações com as quais temos vínculos profundos",11,Sem ambiguidade
79," Não se pode, de forma alguma, abandonar a via pacífica e do diálogo, sob pena de perpetuar-se o sofrimento das populações envolvidas e de desencadear forças incontroláveis com enorme potencial desestabilizador para a região e para o mundo",11,Sem ambiguidade
80, É preciso resgatar a confiança nas Nações Unidas,3,ONU e CS
81," O Conselho de Segurança da ONU é o único órgão legalmente habilitado a autorizar o uso da força, este recurso extremo a ser utilizado apenas quando todos os outros esforços e possibilidades se tenham efetivamente esgotado",3,ONU e CS
82, Mas é igualmente importante para a credibilidade do Conselho em sua tarefa de manter a paz que suas resoluções sejam fielmente cumpridas,3,ONU e CS
83," Defenderemos a ampliação do Conselho de Segurança com a inclusão de países em desenvolvimento entre seus membros permanentes, de modo a reforçar sua legitimidade e representatividade",3,ONU e CS
84, O crescente número de brasileiros que vivem e trabalham no exterior torna imprescindível uma vigorosa política consular e cultural capaz de assisti-los e de manter vivos seus vínculos com o País,12,Sem ambiguidade
85," As políticas cultural, de cooperação técnica, científica e tecnológica serão elementos essenciais da política externa do Governo Lula",24,Com muita ambiguidade
86, Senhoras e Senhores,24,Exortação
87, Considero a honrosa indicação com que o Senhor Presidente da República me distinguiu como sinal de reconhecimento da excelência e patriotismo dos quadros do Serviço Exterior Brasileiro,24,"Mudanças institucionais, desafios e agradecimentos"
88, A imagem pública que se tem da vida diplomática costuma ressaltar apenas os aspectos de maior brilho,24,"Mudanças institucionais, desafios e agradecimentos"
89," Mas há um outro lado, de traumas pessoais e familiares, representados pelas constantes mudanças, readaptações forçadas e, em muitos casos, o enfrentamento de situações críticas, do ponto de vista material e psicológico",24,"Mudanças institucionais, desafios e agradecimentos"
90, Tais dificuldades geram necessidades que não podem ser desatendidas,24,"Mudanças institucionais, desafios e agradecimentos"
91," No caso da carreira diplomática, enfrenta-se um complexo desafio: como conciliar a valiosa experiência acumulada com a justa e necessária renovação nos postos de chefia",24,"Mudanças institucionais, desafios e agradecimentos"
92, Estou consciente de que as tarefas que temos diante de nós somente podem ser executadas a contento com a participação engajada de todas as categorias de servidores do Itamaraty,24,"Mudanças institucionais, desafios e agradecimentos"
93, Examinarei sempre com atenção e boa vontade suas sugestões e reivindicações,24,"Mudanças institucionais, desafios e agradecimentos"
94," Senhoras e Senhores, meus colegas",24,"Mudanças institucionais, desafios e agradecimentos"
95," Não só o Brasil, mas todo o mundo está consciente de que o País vive um grande momento de sua história",24,"Mudanças institucionais, desafios e agradecimentos"
96, Pude testemunhar isso pessoalmente,24,"Mudanças institucionais, desafios e agradecimentos"
97," Não são poucos os analistas, intelectuais ou ativistas políticos de variadas tendências que pensam que do êxito brasileiro depende não só o nosso próprio futuro, mas o de outras nações, que, como nós, buscam a via do desenvolvimento com democracia e justiça social",24,"Mudanças institucionais, desafios e agradecimentos"
98," Sou tentado a dizer, como o poeta, que tenho duas mãos e o sentimento do mundo",24,"Mudanças institucionais, desafios e agradecimentos"
99," Mas o que me dá confiança é a certeza de que, desta feita, serão muitas mãos a colaborar",24,"Mudanças institucionais, desafios e agradecimentos"
100, A tarefa é grandiosa,24,"Mudanças institucionais, desafios e agradecimentos"
101, O Itamaraty não falhará na sua parte dessa missão,24,"Mudanças institucionais, desafios e agradecimentos"
102, Muito obrigado,24,"Mudanças institucionais, desafios e agradecimentos"
