"","linha","texto","categoria","comentario"
"13",13," Vindas do meu caro amigo Celso Amorim, cujas qualidades pessoais, intelectuais e pro- fissionais eu sempre admirei, essas palavras cobram um sentido único de incentivo",24,"Agradecimento"
"14",14," Ninguém em melhor do que Fernando Henrique para estar então a frente do Itamaraty, a que imprimiu um ânimo novo, construído ou reforçando amizades sólidas entre nós, projetando-se ainda mais no plano internacional, em que já figurava como referência obrigatória nas ciências sociais e nos estudos latino-americanos, e estendendo o já amplo domínio que sempre teve sobre os temas que interessam a causa do nosso desenvolvimento econômico e social e de uma melhor inserção do Brasil no mundo",24,"Sobre FHC"
"15",15," Substituir um colega na cadeira de Rio Branco tem um significado especial nos rituais do Itamaraty",24,"Sobre o emissor"
"16",16," O Presidente honrou mais uma vez a nossa instituição ao entregar a um",24,"Sobre FHC"
"17",17,"profissional a sua condução, quando tinha todos 0s motivos - do seu ",24,"Sobre FHC"
"18",18," próprio",24,"Sobre FHC"
"19",19," êxito como Chanceler a qualidade dos demais membros da sua equipe meticulosamente construída para seguir um caminho diverso",24,"Sobre FHC"
"20",20," Escolhido agora seu Chanceler, espero responder a altura a essa mostra de confiança",24,"Sobre o emissor"
"21",21," Esta passagem de cargo se fez, pois, com um sentido exemplar de continuidade e inovação",24,"Sobre o emissor"
"22",22," De continuidade, porque exercerei meu cargo construindo sobre um patrimônio de realizações da gestão que hoje se conclui",24,"Sobre o emissor"
"23",23," De inovação, porque é próprio do trabalho humano que se olhe para o futuro com a certeza de que as transformações são possíveis e com a coragem de vê-las como necessárias e mesmo urgentes: com a convicção de que o passado, ainda o mais recente, pode e deve servir de matéria-prima para o continuado aperfeiçoamento das instituições humanas e da ação dos Governos e das sociedades",24,"Sobre o emissor e inovação"
"24",24," A você, Celso, desejo todas as felicitações na sua nova e importante missão",24,"Felicitações à Celso Amorim"
"25",25," Estou certo de que, em Nova York, você prosseguirá a contribuição expressiva que sempre trouxe ao Itamaraty ao longo da sua carreira",24,"Felicitações à Celso Amorim"
"26",26," Seu êxito será parte do nosso próprio sucesso",24,"Felicitações à Celso Amorim"
"27",27," Sei que interpreto o sentimento de todos os nossos colegas, seus amigos, ao manifestar o agradecimento, a você e aos seus colaboradores mais diretos, pelo expressivo trabalho e reconhecida dedicação neste ano e meio de realizações que já constituem um legado da nossa diplomacia e que saberemos utilizar e levar adiante em proveito do Brasil",24,"Agradecimentos"
"28",28," Senhoras e Senhores, Em seu discurso de posse e em seu programa de Governo, o Presidente Fernando Henrique expôs uma visão do mundo e do Brasil e a forma como concebe o trabalho da diplomacia brasileira sob a sua orientação",24,"Discurso de FHC"
"29",29," Esses são, a partir de agora, textos de referência obrigatória na concepção das estratégias e na ação do Itamaraty",24,"Discurso de FHC"
"30",30," Nesses textos e em outras ocasiões em que tratou da política externa do seu Governo, o Presidente deu-nos diretrizes claras",24,"Discurso de FHC"
"31",31," Essas diretrizes emanam da sua própria concepção do desenvolvimento brasileiro e do papel que ele vê para o seu mandato na consolidação da estabilidade econômica e na retomada do crescimento em bases sustentáveis e com justiça e equidade",24,"Discurso de FHC"
"32",32," A política externa será assim o resultado de uma visão orgânica do inundo e do Brasil, em plena sintonia com um projeto de Governo que recebeu o mais consagrador dos avais, o mandato outorgado pelo expressivo sufrágio popular que elegeu o Presidente",24,"Discurso de FHC e sobre PEB"
"33",33," O Brasil inaugura este quadriênio de Governo com uma nova projeção internacional, graças a combinação da estabilidade em consolidação com a retomada do crescimento em patamares compatíveis com as nossas necessidades e aspirações",24,"Sobre PEB"
"34",34," Temos agora condições não apenas de aprofundar nossos vínculos regionais, a partir do Mercosul, mas também de ver nos pólos dinâmicos da economia mundial - a América do Norte, a União Européia e a Ásia Pacífico - as parcerias que podemos aprimorar e desenvolver",1,"Sobre Parcerias regionais e extra-regionais"
"35",35," E certo que temos ainda de lidar com muitos constrangimentos próprios de uma sociedade injusta, como a violência, a má distribuição social e regional de renda, o analfabetismo, a doença, a baixa qualificação pro- fissional de uma grande massa de trabalha- dores",6,"Temas de direitos humanos e sociais"
"36",36," Esses constrangimentos marcam de forma profunda a nossa agenda interna e a nossa agenda internacional A diplomacia só será eficiente se tiver uma visão realista do país, de seus acertos e de seus problemas Melhorar as condições da nossa inserção internacional é iim instrumento básico no processo de transformação qualitativa da sociedade brasileira, ao mesmo tempo em que essa transformação qualitativa será uma alavanca fundamental para a melhoria do padrão dessa inserção externa do Brasil Temos agora um conjunto novo de qualificações que nos cabe explorar, projetar e desenvolver, expandindo um patrimônio sem temor de inovar, sem receio de atualizar métodos, concepções e estratégias onde couber",6,"Temas de direitos humanos e sociais como objetivo da diplomacia"
"37",37," Graças a um esforço dos próprios brasileiros, consolidamos nossa democracia, abrimos nossa economia em condições de competitividade e conquistamos a estabilidade da nossa moeda, ao mesmo tempo em que retiramos da agenda de prioridades brasileiras o penoso item representado pela dívida externa",4,"Temas econômicos"
"38",38," Ao contrário do que poderiam apontar os que consideram precipitada ou irrefletida a maior exposição da nossa economia a competição internacional, a indústria brasileira dá mostras de responder adequadamente ao desafio",4,"Temas econômicos"
"39",39," Em 1994, em uma situação de plena abertura de mercado, o carro-chefe da nossa industrialização, o setor automobilístico, dobrou a produção em relação a 1992",4,"Temas econômicos"
"40",40," Contamos com uma auto-confiança que há muito não se via no pais, com a diferença de que hoje as razões objetivas para esse sentimento são sólidas e duráveis",24,"Outros"
"41",41," Com a estabilidade política e econômica do Brasil, produto do nosso próprio esforço, demos uma contribuição decisiva para que a América Latina de fato passasse a guiar-se majoritariamente pela duas forças que conduzem o mundo do pós-Guerra Fria a democracia, de que são corolários a transparência de objetivos e a qualidade das intenções dos Governos e sociedades tanto no plano interno quanto no plano internacional, e a liberdade econômica com preocupação social",4,"Temas econômicos na América Latina"
"42",42," E, graças a um consenso interno pacientemente construído, embora ainda em vias de consolidar-se, removemos um dos últimos sinais negativos que marcaram as considerações sobre o Brasil nos últimos anos - a noção de que éramos incapazes de combater a inflação e arrumar a casa em nosso próprio beneficio",4,"Temas econômicos e inflação"
"43",43," Somos um grande país, com tradição de crescimento e uma longa história de participação no mundo e melhoram as condições para alcançarmos melhores resultados econômicos e sociais",24,"Outros"
"44",44," Somos um ""mercador global"" e um ""ator global"", mas essas qualidades não devem induzir-nos a inércia, nem tolher-nos a criatividade, porque há espaços a ocupar, há uma competição saudável em curso e podemos melhorar ou alterar nosso desempenho",4,"Global player"
"45",45," Com a economia mais aberta, consequência de um processo refletido de maior exposição a competição internacional em benefício dos consumidores brasileiros e da nossa própria competitividade, temos melhores condições de buscar e mesmo exigir acesso niais desimpedido ao mercado internacional e práticas leais e transparentes em matéria de comércio, transferência de tecnologia e investimentos",4,"Global player"
"46",46," Temos uma agenda interna mais defini- da, com a atenção posta no crescimento e na busca de maior equidade social e na qual as reformas assumem prioridade porque têm uma função a cumprir na consolidação da estabilidade na retomada do crescimento com mais justiça social",6,"Sem ambiguidade"
"47",47," Nossos compromissos em matéria d e direitos humanos, proteção ambiental, combate a criminalidade e ao narcotráfico e proteção das minorias dão-nos um vigor novo para lidar com uma agenda renovada no plano externo, buscando parcerias, a cooperação e o diálogo construtivo necessários para avançar essa agenda internamente",6,"Prevalecem os temas de direitos humanos "
"48",48," Somos mais confiáveis e temos mais credibilidade internacional, porque soubemos, ao seu próprio tempo e sem comprometer princípios ou sacrificar visões de longo prazo em favor de beneficias conjunturais duvidosos, fazer as alterações de política que melhor respondiam às mudanças em curso no m~indo, no nosso Continente e no próprio pais",4,"Credibilidade"
"49",49," E essas alterações prosseguirão, como tem apontado o Presidente Fernando Henrique, reforçando nosso capital político e nosso instrumental de atuação",24,"FHC"
"50",50," Somos vistos como um ator importante, mas que soube atualizar-se e que desperta interesse e atenção eni nossos parceiros e nos agentes econômicos dos pólos dinâmicos da economia mundial",4,"Sem ambiguidade"
"51",51," Temos uma projeção internacional muito significativa, que deve traduzir-se cada vez mais em uma presença ativa e produtiva em todos os lugares e acontecimentos que importam, indo além da simples presença de representante diplomático permanente ou do formalismo das relações entre Chancelarias",1,"Sem ambiguidade"
"52",52," Pelas próprias dificuldades, até mesmo materiais que vinham tolhendo nossa projeção externa, há áreas em que estamos apenas começando a explorar o potencial de relacionamento que passaram a oferecer - áreas relativamente novas para nós, como a Ásia-pacífico e partes da extinta União Soviética, ou áreas virtualmente recuperadas para um convívio internacional mais produção, muitas vezes protagônica, na construção da convivência internacional e regional",1,"Sem ambiguidade"
"53",53," Estamos engajados em parcerias internacionais que ampliam a nossa presença e em que temos que refazer a nossa presença como o Oriente Médio ou a África do Sul pós-apartheid Graças ao Mercosul, que a partir de ontem constitui a realidade palpável de uma união aduaneira, contamos, como Nação, com um reforço substancial da nossa própria circunstância, da nossa identidade",2,"Sem ambiguidade"
"54",54," Nossa personalidade jurídica e política internacional se ampliou, nossa dimensão latino-americana se fortaleceu, nossa parceria com os vizinhos ganhou contornos decisivos, anco- rada em sólidas relações comerciais que já fazem do Mercosul nosso terceiro parceiro comercial, depois da União Européia e dos Estados Unidos, com cerca de 13% do nosso comércio externo",2,"Mercosul e vizinhos"
"55",55," E o potencial da participação do Brasil em outros esquemas ampliados de integração regional, na América do Sul e no conjunto do Hemisfério, nas bases assentadas recentemente na Cúpula de Miami, dá a medida do perfil novo que se desenha para o Brasil em sintonia com as transformações que marcam o cenário internacional contemporâneo e que constituem marcos novos e catalisadores importantes para nossa diplomacia",2,"Mercosul e vizinhos"
"56",56," Nesse panorama de renovação do Brasil e de consolidação de novas credenciais para operarmos no plano externo, contamos com um Presidente que tem uma manifesta disposição de estar à frente da política externa, participando intensamente da diplomacia de Chefes de Estado e Governo que é a marca das relações internacionais contemporâneas e uma característica particularmente importante da diplomacia hemisférica",24,"Diplomacia presidencial"
"57",57," Por suas qualidades de intelectual e cidadão do mundo, nosso Presidente nos dá condições de participação e acesso inigualáveis no diálogo de alto nível",24,"Diplomacia presidencial"
"58",58," Jamais em toda a História do Brasil o Itamaraty terá contado com uma circunstância comparável para a execução da politica externa",24,"Diplomacia presidencial"
"59",59," Senhoras e Senhores",24,"Exortação"
"60",60," A diplomacia opera a ponte que liga a Nação ao mundo",24,"Sobre o cenário domêstico"
"61",61," Ao Itamaraty, em permanente diálogo com a sociedade, cabe estar na linha de frente da compreensão da verdadeira natureza das transformações que estão ocorrendo no cenário internacional, trazendo oportunidades e desafios",24,"Sobre o cenário domêstico"
"62",62," Temos uma conjunção de fatores favoráveis nunca vista: - a retomada do crescimento nos países desenvolvidos, ainda que a taxas modestas",24,"Sobre o cenário domêstico"
"63",63," - uma América Latina que tem crescido com abertura comercial e estabilidade econômica na qual nos reacomodamos plenamente, com evidentes vantagens mútuas",4,"Sem ambiguidade, já que fala da macroeconomia da AL"
"64",64," o fim da confrontação ideológica e o encaminhamento da solução de velhos e persistentes focos de conflito que afetavam regiões potencialmente ricas e promissoras para o intercâmbio internacional, como o Oriente Médio, Angola e a República da África do Sul",11,"Paz e Oriente Médio"
"65",65," - a preeminência, também no cenário internacional, de valores caros ao povo brasileiro, como a democracia, as liberdades individuais e o respeito aos direitos humanos, e a evidência de que,apesar de retrocessos localizados, o mundo está engajado em um processo de crescimento da civilização e de melhoria das relações entre os Estados",6,"Desenvolvimento social"
"66",66," - a conclusão bem-sucedida da Rodada Uruguai, na qual tive a grande honra se ser o negociador pelo Brasil, e que se corporifica na implantação da Organização Mundial de Comércio",3,"OMC"
"67",67," consolidou-se assim o multilateralismo no comércio internacional de bens e serviços, em um processo no qual o Brasil teve um papel relevante, atuando como elemento facilitador nas negociações, na busca de um consenso construtivo",4,"Comércio Exterior"
"68",68," Contribuímos, assim, para que se atualizassem e se universalizassem regras fundamentais para que os países possam lidar de forma leal, transparente e eficaz com o fenômeno da globalização da economia e com a crescente competitividade entre as economias e os agrupamentos regionais",4,"Globalização"
"69",69," - a própria convivência harmoniosa entre o fortalecimento do multilateralismo sob a égide da OMC e a realidade dos processos de integração regional",3,"OMC e multilateralismo"
"70",70," - a criação e a operação de novos foros e coalizões, em obediência a forças de agregação diferentes daquelas tradicionalmente geradas pelas clivagens Leste-Oeste e Norte-Sul, impondo escolhas para os Estados e políticas novas para retirar desses exercícios o melhor proveito",3,"Coalizões e fóruns"
"71",71," E um cenário basicamente positivo, talvez dos mais positivos com que poderíamos contar, ainda que muitas alterações se imponham para que se democratize o processo decisório e sobretudo para que se distribuam melhor os frutos do progresso material científico e tecnológico entre os povos do mundo",9,"Desenvolvimento tecnológico"
"72",72," No mundo de hoje, o poder cada vez mais se mede por outros fatores que não o poderio estratégico e militar",24,"Sobre a natureza do poder"
"73",73," Países e povos que dominam a agenda econômica internacional e avançam em progresso material, bem-estar social e, sobretudo, nível e qualidade de emprego, mostram caminhos claros para o desenvolvimento e para uma melhor inserção internacional: a competitividade, o acesso a mercados, o acesso desimpedido a tecnologias avançadas, a abertura aos investimentos, o nível educacional e técnico da mão de obra, o investimento em ciência e tecnologia, a capacidade de promover no exterior a marca de qualidade da sua produção, a habilidade de estar a frente na criação e comercialização de novos produtos e serviços A essas qualidades, soma-se a formação de novas parcerias operacionais, que transcendam o diálogo político para situar-se na esfera dos resultados práticos em termos de comércio, investimentos, geração de empregos, ampliação da escala das economias, transferência de conhecimentos e tecnologia",4,"Embora passe por outros temas, o guarda-chuva é a economia"
"74",74," Um processo decisório mais ágil e descentralizado caracteriza as relações internacionais de hoje",24,"Processo decisório"
"75",75," que se definem cada vez mais como um jogo feito em diversos tabuleiros, mais aberto a participação dos países, mesmo que em condições menos vantajosas de saída, desde que se conte - a exemplo do que nós estamos crescentemente fazendo – com as capacidades adequadas",24,"Processo decisório e tabuleiros"
"76",76," A melhor inserção do Brasil nesse processo decisório – e portanto a escolha refletida das instâncias de que podemos e devemos participar - é um desafio que alcança hoje a dimensão de imperativo, especialmente porque as escolhas pressupõem a capacidade de não promover exclusões",6,"Processo decisório e exclusões"
"77",77," Senhoras e Senhores",24,"Exortar"
"78",78," O papel da diplomacia brasileira e particularmente do Itamaraty é o de coadjuvar os esforços do Brasil por uma nova inserção internacional, que responda de forma adequada e produtiva a inédita combinação de fatores positivos e de desafios nos planos interno e internacional",24,"Papel da diplomacia"
"79",79," Nossos objetivos são claros: - ampliar a base externa para a consolidação da estabilidade econômica e a retomada do desenvolvimento em forma sustentável e socialmente equitativa, abrindo niais e melhores acessos aos mercados, ajudando a proteger a nossa economia de práticas desleais de comércio, atraindo investimentos e tecnologia",4,"Mercados"
"80",80," melhorando as condições de acesso ao conhecimento",4,"Mercados"
"81",81," - melhorar o padrão das relações do Brasil com seus parceiros, alargando o leque dessas parcerias operacionais e diversificando o relacionamento",1,"Parceiros"
"82",82," - dar ênfase a cooperação internacional que nos permita melhorar nossa competitividade e produtividade e que nos auxilie a progredir no tratamento de temas, corno direitos humanos, proteção ambiental, combate ao narcotráfico e ao crime organizado, que ficaram em lugar de destaque na nossa agenda interna e na agenda internacional, e - buscar uma maior e mais adequada participação no processo decisório regional e mundial, tanto nos foros políticos como nos foros econômicos",5,"Cooperação como tema principal dos outros"
"83",83," Com esses objetivos em mente, o Presidente Fernando Henrique pediu-me que acompanhasse com atenção especial alguns temas que adquirem sentido de premência e de particular importância em seu projeto de Governo",24,"Pedido de FHC"
"84",84," Listo-os de forma não exaustiva, sem que essa necessária priorização signifique qualquer diminuição da importância relativa de outras áreas que compõem o con- junto de uma política externa que se quer universal e ativa: - o processo de consolidação do Mercosul e sua eventual ampliação com a incorporação de novos parceiros",2,"Vizinhos Mercosul"
"85",85," - as relações com nossos vizinhos latino-americanos e o processo de integração hemisférica, especialmente a partir do aprofundamento das relações com a América do Sul",2,"Vizinhos Mercosul"
"86",86," - as relações com o centro dos três pólos de poder econômico mundial, os Estados Unidos, a União Européia e o Japão; - as relações com a região da Ásia-pacífico, com especial atenção aos novos parceiros emergentes na região, integrantes da ASEAN",1,"Parceiros"
"87",87," - as relações com os três países continentais, a China, a Rússia e a Índia; - as relações com nossos parceiros econômicos tradicionais na África, acrescidos agora da África do Sul pós-apartheid",1,"Parceiros"
"88",88," - a Organização Mundial de Comercio e a operacionalização dos resultados da Rodada Uruguai",3,"OMC"
"89",89," - a proteção internacional dos direitos humanos e o diálogo construtivo com Organismos Internacionais e Organizações Não-Governamentais sobre o assunto",6,"Sem ambiguidade"
"90",90," - a proteção ambiental, a cooperação para o desenvolvimento sustentável particularmente o cumprimento dos compromissos assumidos, no mais alto nível, por ocasião da Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento",7,"Sem ambiguidade"
"91",91," - a reforma das Nações Unidas",3,"ONU"
"92",92," - os foros políticos e econômicos de consulta e concertação de que o Brasil faz parte ou tem interesse em integrar, como o Grupo do Rio, a OCDE, o Grupo dos 15, a Conferência Ibero-Americana e a Comunidade dos Países de Língua Portuguesa; - o desenvolvimento das relações fronteiriças com nossos vizinhos",3,"Mecanismos"
"93",93," - a proteção e a assistência aos brasileiros no exterior; e - a adequação da estrutura da nossa diplomacia, na Secretaria de Estado e no exterior, na busca de mais eficiência e maior presença para fazer face aos desafios representados pela necessidade de avançar em todas essas e em outras áreas de interesse da diplomacia brasileira",12,"Brasileiros"
"94",94," E um projeto ambicioso, mas responde ao imperativo de sermos um instrumento eficaz de um projeto de Governo comprometido com um substancial progresso econômico e social do país e com uma mudança qualitativa nas formas de operar do Estado brasileiro",24,"Diplomacia pública e outros"
"95",95," Sei também que o Itamaraty se renova a cada desafio, porque tem em seus quadros, permanentemente sintonizados com o mundo, a força que vem da experiência do profissionalismo e do orgulho de servir",24,"Diplomacia pública e outros"
"96",96," Nosso patrimônio diplomático está-se enriquecendo com o exercício regular do diálogo com a sociedade civil, através dos sindicatos e associações de classe, dos partidos políticos e do Congresso, dos formadores de opinião, do empresariado, dos meios acadêmicos, das Organizações Não-Governamentais, dos Governos dos Estados e dos Municípios",24,"Diplomacia pública e outros"
"97",97," Democracia e federalismo são hoje vetores da formulação e da ação diplomática",24,"Diplomacia pública e outros"
"98",98," Quero contribuir para aprofundar ainda mais esse processo de consolidação de urna diplomacia pública, que tanto nos beneficia",24,"Diplomacia pública e outros"
"99",99," Quanto maior a transparência e a capilaridade do processo de formulação e implementação da nossa diplomacia, melhor estaremos respondendo aos anseios nacionais em relação ao mundo exterior",24,"Diplomacia pública e outros"
"100",100," Quando fui Secretário-Geral, procurei ser, como todos, um profissional a serviço do interesse do país, um trabalhador tão dedicado quanto os funcionários mais modestos ou o colega mais novo e cheio de entusiasmo pela carreira",24,"Sobre o emissor, desafios e funcionários"
"101",101," Agora que volto para ocupar o posto mais alto do Itamaraty, nada mudou em minha forma de ser",24,"Sobre o emissor, desafios e funcionários"
"102",102," Juntos mais uma vez, estamos novamente a serviço do mesmo Chefe, o Presidente Fernando Henrique, que tanto fez e tanto fará pelo nosso Itamaraty",24,"Sobre o emissor, desafios e funcionários"
"103",103," Sei que posso contar com todos, meus colegas e funcionários, próximos de mim ou no mais distante posto no exterior",24,"Sobre o emissor, desafios e funcionários"
"104",104," Nossa Casa só pode ser a soma do que nós somos",24,"Sobre o emissor, desafios e funcionários"
"105",105," Quero diálogo e participação e por isso instrui meus colaboradores e toda a Chefia da Casa a buscar idéias novas, a conversar com os que estão na linha de frente do trabalho diplomático ou, nas divisões e departamentos da Secretaria de Estado, lidam diretamente com os temas, refletindo sobre eles com o conhecimento mais aprofundado e identificando melhor, por isso mesmo, os problemas, os gargalos que tolhem nossa ação e prejudicam nossa eficiência",24,"Sobre o emissor, desafios e funcionários"
"106",106," Amanhã, ao dar posse ao novo Secretário-Geral, ampliarei minhas idéias sobre a gestão da Casa",24,"Sobre o emissor, desafios e funcionários"
"107",107," No Itamaraty, o tempo é marcado pelo relógio do continuado iniciar de novas missões",24,"Sobre o emissor, desafios e funcionários"
"108",108," O cargo de Ministro das Relações Exteriores, que agora assumo, e a maior missão que já recebi",24,"Sobre o emissor, desafios e funcionários"
"109",109," Aceitei-o como uma missão de todos nós",24,"Sobre o emissor, desafios e funcionários"
"110",110," Por isso mesmo, como um piloto que assume o leme da nau, sinto-me a vontade para conclamar a todos, desde já, para juntos fazermos esta travessia em que o mar é desafiador, mas a marinhagem é experiente e o nosso comandante, que também já foi piloto, conhece seus caminhos",24,"Sobre o emissor, desafios e funcionários"
"111",111,"Muito obrigado",24,"Sobre o emissor, desafios e funcionários"
