"","linha","texto","categoria"
"24",24," Essa é uma história antiga",24
"25",25," O Brasil conheceu a riqueza dos engenhos e das plantações de cana-de-açúcar nos primeiros tempos coloniais, mas não venceu a fome; proclamou a independência nacional e aboliu a escravidão, mas não venceu a fome; conheceu a riqueza das jazidas de ouro, em Minas Gerais, e da produção de café, no Vale do Paraíba, mas não venceu a fome;",13
"26",26,"industrializou-se e forjou um notável e diversificado parque produtivo, mas não",1
"27",27,"venceu a fome",13
"28",28," Isso não pode continuar assim",24
"29",29," Enquanto houver um irmão brasileiro ou uma irmã brasileira passando fome, teremos motivo de sobra para nos cobrirmos de vergonha",13
"30",30," Por isso, defini entre as prioridades de meu Governo um programa de segurança alimentar que leva o nome de Fome Zero",13
"31",31," Como disse em meu primeiro pronunciamento após a eleição, se, ao final do meu mandato, todos os brasileiros tiverem a possibilidade de tomar café da manhã, almoçar e jantar, terei cumprido a missão da minha vida",13
"32",32," É por isso que hoje conclamo: vamos acabar com a fome em nosso país",13
"33",33," Transformemos o fim da fome em uma grande causa nacional, como foram no passado a criação da Petrobrás e a memorável luta pela redemocratização do país",13
"34",34," Essa é uma causa que pode e deve ser de todos, sem distinção de classe, partido, ideologia",13
"35",35," Em face do clamor dos que padecem o flagelo da fome, deve prevalecer o imperativo ético de somar forças, capacidades e instrumentos para defender o que é mais sagrado: a dignidade humana",13
"36",36," Para isso, será também imprescindível fazer uma reforma agrária pacífica, organizada e planejada",4
"37",37," Vamos garantir acesso à terra para quem quer trabalhar, não apenas por uma questão de justiça social, mas para que os campos do Brasil produzam mais e tragam mais alimentos para a mesa de todos nós, tragam trigo, soja,",4
"38",38,"farinha, frutos, o nosso feijão com arroz",4
"39",39," Para que o homem do campo recupere sua dignidade sabendo que, ao se levantar com o nascer do sol, cada movimento de sua enxada ou do seu trator irá contribuir para o bem-estar dos brasileiros do campo e da cidade, vamos incrementar também a agricultura familiar, o cooperativismo, as formas de economia solidária",4
"40",40," Elas são perfeitamente compatíveis com o nosso vigoroso apoio à pecuária e à agricultura empresarial, à agroindústria e ao agronegócio; são, na verdade, complementares tanto na dimensão econômica quanto social",4
"41",41," Temos de nos orgulhar de todos esses bens que produzimos e comercializamos",4
"42",42," A reforma agrária será feita em terras ociosas, nos milhões de hectares hoje disponíveis para a chegada de famílias e de sementes, que brotarão viçosas, com linhas de crédito e assistência técnica e científica",4
"43",43," Faremos isso sem afetar de modo algum as terras que produzem, porque as terras produtivas se justificam por si mesmas e serão estimuladas a produzir sempre mais, a exemplo da gigantesca montanha de grãos que colhemos a cada ano",4
"44",44,"Hoje, tantas áreas do país estão devidamente ocupadas, as plantações espalham-se a perder de vista, há locais em que alcançamos produtividade maior do que a da Austrália e a dos Estados Unidos",4
"45",45," Temos que cuidar bem, muito bem, deste imenso patrimônio produtivo brasileiro",4
"46",46," Por outro lado, é absolutamente necessário que o país volte a crescer, gerando empregos e distribuindo renda",1
"47",47," Quero reafirmar aqui o meu compromisso com a produção, com os brasileiros e brasileiras, que querem trabalhar e viver dignamente do fruto do seu trabalho",5
"48",48," Disse e repito: criar empregos será a minha obsessão",5
"49",49," Vamos dar ênfase especial ao projeto Primeiro Emprego, voltado para criar oportunidades aos jovens, que hoje encontram tremenda dificuldade em se inserir no mercado de trabalho",5
"50",50," Nesse sentido, trabalharemos para superar nossas vulnerabilidades atuais e criar condições macroeconômicas favoráveis à retomada do crescimento sustentado, para a qual a estabilidade e a gestão responsável das finanças públicas são valores essenciais",1
"51",51," Para avançar nessa direção, além de travar combate implacável à",1
"52",52,"inflação, precisaremos exportar mais, agregando valor aos nossos produtos e",1
"53",53,"atuando, com energia e criatividade, nos solos internacionais do comércio",18
"54",54,"globalizado",18
"55",55," Da mesma forma, é necessário incrementar, e muito, o mercado",15
"56",56,"interno, fortalecendo as pequenas e microempresas",15
"57",57," É necessário também",15
"58",58,"investir em capacitação tecnológica e infra-estrutura voltada para o",15
"59",59,"escoamento da produção",15
"60",60," Para repor o Brasil no caminho do crescimento, que gere os postos de trabalho tão necessários, carecemos de um autêntico pacto social pelas mudanças e de uma aliança que entrelace objetivamente o trabalho e o capital produtivo, geradores da riqueza fundamental da Nação, de modo a que o Brasil supere a estagnação atual e volte a navegar no mar aberto do desenvolvimento econômico e social",13
"61",61," O pacto social será, igualmente, decisivo para viabilizar as reformas que a sociedade brasileira reclama e que eu me comprometi a fazer: a reforma da Previdência, a reforma tributária, a reforma política e da legislação trabalhista, além da própria reforma agrária",1
"62",62," Esse conjunto de reformas vai impulsionar um novo ciclo do desenvolvimento nacional",1
"63",63," Instrumento fundamental desse pacto pela mudança será o Conselho Nacional de Desenvolvimento Econômico e Social que pretendo instalar já a partir de janeiro, reunindo empresários, trabalhadores e lideranças dos diferentes segmentos da sociedade civil",13
"64",64," Estamos em um momento particularmente propício para isso",24
"65",65," Um momento raro da vida de um povo",24
"66",66," Um momento em que o Presidente da República tem consigo, ao seu lado, a vontade nacional",20
"67",67," O empresariado, os partidos políticos, as Forças Armadas e os trabalhadores estão unidos",20
"68",68," Os homens, as mulheres, os mais velhos, os mais jovens, estão irmanados em um mesmo propósito de contribuir para que o país cumpra o seu destino histórico de prosperidade e justiça",24
"69",69," Além do apoio da imensa maioria das organizações e dos movimentos sociais, contamos também com a adesão entusiasmada de milhões de brasileiros e brasileiras que querem participar dessa cruzada pela retomada pelo crescimento contra a fome, o desemprego e a desigualdade social",13
"70",70," Trata-se de uma poderosa energia solidária que a nossa campanha despertou e que não podemos e não vamos desperdiçar",24
"71",71," Uma energia ético-política extraordinária que nos empenharemos para que encontre canais de expressão em nosso Governo",24
"72",72," Por tudo isso, acredito no pacto social",13
"73",73," Com esse mesmo espírito constituí o meu Ministério com alguns dos melhores líderes de cada segmento econômico e social brasileiro",20
"74",74," Trabalharemos em equipe, sem personalismo, pelo bem do Brasil e vamos adotar um novo estilo de Governo, com absoluta transparência e permanente estímulo à participação popular",20
"75",75," O combate à corrupção e a defesa da ética no trato da coisa pública serão objetivos centrais e permanentes do meu Governo",12
"76",76," É preciso enfrentar com determinação e derrotar a verdadeira cultura da impunidade que prevalece em certos setores da vida pública",12
"77",77," Não permitiremos que a corrupção, a sonegação e o desperdício continuem privando a população de recursos que são seus e que tanto poderiam ajudar na sua dura luta pela sobrevivência",12
"78",78," Ser honesto é mais do que apenas não roubar e não deixar roubar",24
"79",79," É também aplicar com eficiência e transparência, sem desperdícios, os recursos públicos focados em resultados sociais concretos",20
"80",80," Estou convencido de que temos, dessa forma, uma chance única de superar os principais entraves ao desenvolvimento sustentado do país",1
"81",81," E acreditem, acreditem mesmo, não pretendo desperdiçar essa oportunidade conquistada com a luta de muitos milhões de brasileiros e brasileiras",24
"82",82," Sob a minha liderança, o Poder Executivo manterá uma relação construtiva e fraterna com os outros Poderes da República, respeitando exemplarmente a sua independência e o exercício de suas altas funções constitucionais",20
"83",83," Eu, que tive a honra de ser parlamentar desta Casa, espero contar com a contribuição do Congresso Nacional no debate criterioso e na viabilização das reformas estruturais que o país demanda de todos nós",20
"84",84," Em meu Governo, o Brasil vai estar no centro de todas as atenções",19
"85",85," O Brasil precisa fazer, em todos os domínios, um mergulho para dentro de si mesmo, de forma a criar forças que lhe permitam ampliar o seu horizonte",24
"86",86," Fazer esse mergulho não significa fechar as portas e janelas ao mundo",19
"87",87," O Brasil pode e deve ter um projeto de desenvolvimento que seja ao mesmo tempo nacional e universalista",19
"88",88," Significa, simplesmente, adquirir confiança em nós mesmos, na capacidade de fixar objetivos de curto, médio e longo prazos e de buscar realizá-los",1
"89",89," O ponto principal do modelo para o qual queremos caminhar é a ampliação da poupança interna e da nossa capacidade própria de investimento, assim como o Brasil necessita valorizar o seu capital humano investindo em conhecimento e tecnologia",1
"90",90," Sobretudo vamos produzir",15
"91",91," A riqueza que conta é aquela gerada por nossas próprias mãos, produzida por nossas máquinas, pela nossa inteligência e pelo nosso suor",15
"92",92," O Brasil é grande",7
"93",93," Apesar de todas as crueldades e discriminações, especialmente contra as comunidades indígenas e negras, e de todas as desigualdades e dores que não devemos esquecer jamais, o povo brasileiro realizou uma obra de resistência e construção nacional admirável",2
"94",94," Construiu, ao longo dos séculos, uma Nação plural, diversificada, contraditória até, mas que se entende de uma ponta a outra do território",23
"95",95," Dos encantados da Amazônia aos orixás da Bahia; do frevo pernambucano às escolas de samba do Rio de Janeiro; dos tambores do Maranhão ao barroco mineiro; da arquitetura de Brasília à música sertaneja",23
"96",96," Estendendo o arco de sua multiplicidade nas culturas de São Paulo, do Paraná, de Santa Catarina, do Rio",23
"97",97,"Grande do Sul e da região Centro-Oeste",23
"98",98," Esta é uma Nação que fala a mesma",23
"99",99,"língua, partilha os mesmos valores fundamentais, se sente que é brasileira",23
"100",100," Onde a mestiçagem e o sincretismo se impuseram, dando uma contribuição original ao mundo",23
"101",101," Onde judeus e árabes conversam sem medo",23
"102",102," Onde toda migração é bem-vinda, porque sabemos que, em pouco tempo, pela nossa própria capacidade de assimilação e de bem-querer, cada migrante se transforma em mais um brasileiro",9
"103",103," Esta Nação, que se criou sob o céu tropical, tem que dizer a que veio: internamente, fazendo justiça à luta pela sobrevivência em que seus filhos se acham engajados; externamente, afirmando a sua presença soberana e criativa no mundo",19
"104",104," Nossa política externa refletirá também os anseios de mudança que se expressaram nas ruas",19
"105",105," No meu Governo, a ação diplomática do Brasil estará orientada por uma perspectiva humanista e será, antes de tudo, um instrumento do desenvolvimento nacional",19
"106",106," Por meio do comércio exterior, da capacitação de tecnologias avançadas, e da busca de investimentos produtivos, o relacionamento externo do Brasil deverá contribuir para a melhoria das condições de vida da mulher e do homem brasileiros, elevando os níveis de renda e gerando empregos dignos",18
"107",107," As negociações comerciais são hoje de importância vital",18
"108",108," Em relação à Alca, nos entendimentos entre o Mercosul e a União Européia, na Organização Mundial do Comércio, o Brasil combaterá o protecionismo, lutará pela eliminação e tratará de obter regras mais justas e adequadas à nossa condição de país em desenvolvimento",18
"109",109," Buscaremos eliminar os escandalosos subsídios agrícolas dos países desenvolvidos que prejudicam os nossos produtores, privando-os de suas vantagens comparativas",18
"110",110," Com igual empenho, esforçar-nos-emos para remover os injustificáveis obstáculos às exportações de produtos industriais",18
"111",111," Essencial em todos esses foros é preservar os espaços de flexibilidade para nossas políticas de desenvolvimento nos campos social e regional, de meio ambiente, agrícola, industrial e tecnológico",1
"112",112," Não perderemos de vista que o ser humano é o destinatário último do resultado das negociações",13
"113",113," De pouco valerá participarmos de esforço tão amplo e em tantas frentes se daí não decorrerem benefícios diretos para o nosso povo",13
"114",114," Estaremos atentos também para que essas negociações, que hoje em dia vão muito além de meras reduções tarifárias e englobam um amplo espectro normativo, não criem restrições inaceitáveis ao direito soberano do povo brasileiro de decidir sobre seu modelo de desenvolvimento",24
"115",115," A grande prioridade da política externa durante o meu Governo será a construção de uma América do Sul politicamente estável, próspera e unida, com base em ideais democráticos e de justiça social",19
"116",116," Para isso é essencial uma ação decidida de revitalização do Mercosul, enfraquecido pelas crises de cada um de seus membros e por visões muitas vezes estreitas e egoístas do significado da integração",19
"117",117," O Mercosul, assim como a integração da América do Sul em seu conjunto, é sobretudo um projeto político",19
"118",118," Mas esse projeto repousa em alicerces econômico-comerciais que precisam ser urgentemente reparados e reforçados",19
"119",119," Cuidaremos também das dimensões social, cultural e científico-tecnológica do processo de integração",19
"120",120," Estimularemos empreendimentos conjuntos e fomentaremos um vivo intercâmbio intelectual e artístico entre os países sul-americanos",19
"121",121," Apoiaremos os arranjos institucionais necessários, para que possa florescer uma verdadeira identidade do Mercosul e da América do Sul",19
"122",122," Vários dos nossos vizinhos vivem, hoje, situações difíceis",19
"123",123," Contribuiremos, desde que chamados e na medida de nossas possibilidades, para encontrar soluções pacíficas para tais crises, com base no diálogo, nos preceitos democráticos e nas normas constitucionais de cada país",19
"124",124," O mesmo empenho de cooperação concreta e de diálogos substantivos teremos com todos os países da América Latina",19
"125",125," Procuraremos ter com os Estados Unidos da América uma parceria madura, com base no interesse recíproco e no respeito mútuo",19
"126",126," Trataremos de fortalecer o entendimento e a cooperação com a União Européia e os seus Estados-membros, bem como com outros importantes países desenvolvidos, a exemplo do Japão",19
"127",127," Aprofundaremos as relações com grandes nações em desenvolvimento: a China, a Índia, a Rússia, a África do Sul, entre outras",19
"128",128," Reafirmamos os laços profundos que nos unem a todo o continente africano e a nossa disposição de contribuir ativamente para que ele desenvolva as suas enormes potencialidades",19
"129",129," Visamos não só a explorar os benefícios potenciais de um maior intercâmbio econômico e de uma presença maior do Brasil no mercado internacional, mas também a estimular os incipientes elementos de multipolaridade da vida internacional contemporânea",18
"130",130," A democratização das relações internacionais sem hegemonias de qualquer espécie é tão importante para o futuro da Humanidade quanto a consolidação e o desenvolvimento da democracia no interior de cada estado",19
"131",131," Vamos valorizar as organizações multilaterais, em especial as Nações Unidas, a quem cabe a primazia na preservação da paz e da segurança internacionais",19
"132",132," As resoluções do Conselho de Segurança devem ser fielmente cumpridas",19
"133",133," Crises internacionais como a do Oriente Médio devem ser resolvidas por meios pacíficos e pela negociação",19
"134",134," Defenderemos um Conselho de Segurança reformado, representativo da realidade contemporânea com países desenvolvidos e em desenvolvimento das várias regiões do mundo",19
"135",135,"entre os seus membros permanentes",19
"136",136," Enfrentaremos os desafios da hora atual, como o terrorismo e o crime organizado, valendo-nos da cooperação internacional e com base nos princípios do multilateralismo e do Direito Internacional",19
"137",137," Apoiaremos os esforços para tornar a ONU e suas agências instrumentos ágeis e eficazes da promoção do desenvolvimento social e econômico, do combate à pobreza, às desigualdades e a todas as formas de discriminação, da defesa dos direitos humanos e da preservação do meio ambiente",19
"138",138," Sim, temos uma mensagem a dar ao mundo: temos de colocar nosso projeto nacional democraticamente em diálogo aberto como as demais nações do planeta, porque nós somos o novo, somos a novidade de uma civilização que se desenhou sem temor, porque se desenhou no corpo, na alma e no coração do povo, muitas vezes, à revelia das elites, das instituições e até mesmo do Estado",19
"139",139," É verdade que a deterioração dos laços sociais no Brasil nas últimas duas décadas, decorrente de políticas econômicas que não favoreceram o crescimento trouxe uma nuvem ameaçadora ao padrão tolerante da cultura nacional",12
"140",140," Crimes hediondos, massacres e linchamentos crisparam o país e fizeram do cotidiano, sobretudo nas grandes cidades, uma experiência próxima da guerra de todos contra todos",12
"141",141," Por isso, inicio este mandato com a firme decisão de colocar o governo federal em parceria com os estados, a serviço de uma política de segurança pública muito mais vigorosa e eficiente",12
"142",142," Uma política que, combinada com ações de saúde, educação, entre outras, seja capaz de prevenir a violência, reprimir a criminalidade e restabelecer a segurança dos cidadãos e cidadãs",12
"143",143," Se conseguirmos voltar a andar em paz em nossas ruas e praças, daremos um extraordinário impulso ao projeto nacional de construir, neste rincão da América, um bastião mundial da tolerância, do pluralismo democrático e do convívio respeitoso com as diferenças",12
"144",144," O Brasil pode dar muito a si mesmo e ao mundo",19
"145",145," Por isso devemos exigir muito de nós mesmos",24
"146",146," Devemos exigir até mais do que pensamos, porque ainda não nos expressamos por inteiro na nossa história, porque ainda não cumprimos a grande missão planetária que nos espera",24
"147",147," O Brasil, nesta nova empreitada histórica, social, cultural e econômica, terá de contar, sobretudo, consigo mesmo; terá de pensar com a sua cabeça; andar com as suas próprias pernas; ouvir o que diz o seu coração",24
"148",148," E todos vamos ter de aprender a amar com intensidade ainda maior o nosso país, amar a nossa Bandeira, amar a nossa luta, amar o nosso povo",24
"149",149," Cada um de nós, brasileiros, sabe que o que fizemos até hoje não foi pouco, mas sabe também que podemos fazer muito mais",24
"150",150," Quando olho a minha própria vida de retirante nordestino, de menino que vendia amendoim e laranja no cais de Santos, que se tornou torneiro mecânico e líder sindical, que um dia fundou o Partido dos Trabalhadores e acreditou no que estava fazendo, que agora assume o posto de Supremo Mandatário da Nação, vejo e sei, com toda a clareza e com toda a convicção, que nós podemos muito mais",24
"151",151," E, para isso, basta acreditar em nós mesmos, em nossa força, em nossa capacidade de criar e em nossa disposição para fazer",24
"152",152," Estamos começando hoje um novo capítulo na história do Brasil, não como Nação submissa, abrindo mão de sua soberania, não como Nação injusta, assistindo passivamente ao sofrimento dos mais pobres, mas como Nação altiva, nobre, afirmando-se corajosamente no mundo como Nação de todos, sem distinção de classe, etnia, sexo e crença",13
"153",153," Este é um país que pode dar, e vai dar, um verdadeiro salto de qualidade",24
"154",154," Este é o país do novo milênio, pela sua potência agrícola, pela sua estrutura urbana e industrial, por sua fantástica biodiversidade, por sua riqueza cultural, por seu amor à natureza, pela sua criatividade, por sua competência intelectual e científica, por seu calor humano, pelo seu amor ao novo e à invenção, mas sobretudo pelos dons e poderes do seu povo",7
"155",155," O que nós estamos vivendo hoje, neste momento, meus companheiros e minhas companheiras, meus irmãos e minhas irmãs de todo o Brasil, pode ser resumido em poucas palavras: hoje é o dia do reencontro do Brasil consigo mesmo",24
"156",156," Agradeço a Deus por chegar até aonde cheguei",24
"157",157," Sou agora o servidor público número um do meu país",24
"158",158," Peço a Deus sabedoria para governar, discernimento para julgar, serenidade para administrar, coragem para decidir e um coração do tamanho do Brasil para me sentir unido a cada cidadão e cidadã deste país no dia-a-dia dos próximos quatro anos",24
"159",159," Viva o povo brasileiro!",24
