"","linha","texto","categoria"
"74",74," E o Estado se fortalece ao articular- se com ela",20
"75",75," A vertebração da sociedade, em sintonia com a descentralização das políticas públicas, cria as condições para que os serviços do Estado cheguem efetivamente aos que mais precisam e não, como sempre foi, aos que mais têm, porque sempre detiveram os instrumentos de pressão para reivindicar mais",13
"76",76," No Brasil, por muito tempo, o Estado como organização esteve à frente da sociedade",24
"77",77," Hoje, ao contrário, é a sociedade que, via de regra, caminha à frente do Estado",24
"78",78," Nossos partidos, que desde o Império eram instituições do Estado, mais do que da sociedade, precisam modificar-se para serem, agora, instituições da sociedade",20
"79",79," Só assim se revitalizarão e poderão estar em sintonia com a sociedade, evitando a crise da representação política, que grassa no mundo atual",20
"80",80," A democracia que queremos ter é a do diálogo plural, dentro do respeito à diferença, à crítica e à alternância no poder",20
"81",81," Mas o corolário da crítica é a proposta alternativa e construtiva",24
"82",82," Não me intitulo senhor de um caminho único",24
"83",83," Estou pronto a discutir e a retificar o rumo, sempre que me convençam de que a alternativa é melhor para o País",20
"84",84," Alegro-me de que o diálogo com a oposição já se tenha iniciado",20
"85",85," Sei que temos divergências, em vários campos",20
"86",86," Mas sei também que há temas e ações que estão acima das diferenças partidárias",20
"87",87," O diálogo contribui para identificar veredas novas, enriquece a democracia e fortalece o País",20
"88",88," O fundamental nas democracias, entretanto, é o apoio da maioria",20
"89",89," Este apoio, recebi nas urnas pelo voto popular e dos partidos",20
"90",90," A maioria dos representantes eleitos pelo povo pertence aos partidos com os quais formei o Governo",20
"91",91," Eles certamente apoiarão no Congresso as medidas necessárias à implantação das políticas que defendo e que foram aprovadas pelos eleitores",20
"92",92," Completaremos,  assim,  as  reformas",20
"93",93,"  Não  só  a  previdenciária  e  a administrativa, mas a tributária, a política e a judiciária",1
"94",94," Confio nesta Casa, expressão maior da soberania popular, à qual me orgulho de ter pertencido",20
"95",95," O Congresso deu expressiva contribuição às transformações do País nos últimos quatro anos",20
"96",96," Homenageio a todos os seus membros, que tanto valorizo, na pessoa de um de seus mais precoces e maiores líderes, o meu inesquecível amigo Luís Eduardo Magalhães, que ao nos deixar, no ano passado, nos legou o exemplo de sua competência, visão e amor ao País",20
"97",97," Não  há  democracia  onde  subsiste  a  violência",12
"98",98,"  Onde  ainda  são desrespeitados direitos básicos das crianças e das mulheres, dos negros e dos índios",2
"99",99," Avançamos nesta área",2
"100",100," É inegável",24
"101",101," Mas temos que fazer mais",24
"102",102," O desafio está em transformar os valores e as normas em práticas quotidianas",2
"103",103,"  A  Secretaria  dos  Direitos  Humanos  foi  fortalecida",2
"104",104,"institucionalmente para melhor cumprir sua missão",2
"105",105," A sociedade será convidada a participar mais diretamente da execução e controle das políticas",24
"106",106," Senhores Congressistas, Não fui eleito para ser o gerente da camos prosseguir com ela, eliminando privilégios e assegurando a continuidade dos benefícios em favor dos que realmente necessitam",13
"107",107," Preocupa-me o desemprego",1
"108",108," Como acontece ao início de cada ano, a taxa de desemprego poderá elevar-se",1
"109",109," Por ser passageiro, o quadro não é menos doloroso, para quem perde o seu emprego",1
"110",110," Os ministros que em poucos minutos tomarão posse em seus cargos receberão do Presidente da República uma orientação precisa: concentrar a competência de suas equipes e os recursos de suas pastas nos projetos que abram novas oportunidades de trabalho e de renda, especialmente para os jovens;  na  extensão  do  crédito  à  pequena  empresa;  nos  programas  de qualificação do trabalhador; e na assistência ao desempregado",5
"111",111," Tudo o que o Governo puder fazer na área do emprego, será feito",5
"112",112," Tenho a convicção de que o Brasil sairá fortalecido da crise",1
"113",113," As políticas que estamos adotando corrigirão o desequilíbrio de nossas contas",1
"114",114," O País terá credibilidade ainda maior",1
"115",115," E será um mercado mais atraente para os investimentos, tanto internos quanto externos, que gerarão crescimento e empregos",18
"116",116," Tomo de empréstimo a Joaquim Nabuco frase lapidar que expressa meu sentimento diante desta conjuntura desfavorável: “a vida não é senão a posse do  futuro  pela  confiança  e,  em  política,  pela  certeza  do  triunfo (momentaneamente, digo eu) interrompido”",24
"117",117," Senhores Congressistas, De pouco vale ao País ser a oitava economia mundial se continuarmos entre os primeiros na desigualdade social",13
"118",118," Este quadro tem que ser revertido",13
"119",119," Estamos combatendo a desigualdade com a estabilidade da economia e com a melhoria da qualidade da educação pública, de modo a proporcionar aos desfavorecidos a oportunidade que nunca tiveram",13
"120",120," Nossas políticas públicas em educação, saúde, habitação, saneamento melhoraram",13
"121",121," Os indicadores, em cada uma destas áreas, comprovam o progresso alcançado",13
"122",122," Antes, os serviços públicos estavam direcionados aos que mais possuiam",13
"123",123," Agora, os serviços e os créditos do Governo estão dirigidos aos que mais precisam",13
"124",124," Assim é na educação fundamental e na saúde",6
"125",125," Assim começa a ocorrer também no crédito rural e nos financiamentos para pequenas e médias empresas",15
"126",126," Esta é uma revolução",24
"127",127," A única suscetível de transformar a fisionomia social do País e aportar um golpe fatal à desigualdade que reproduzimos desde as eras coloniais",13
"128",128," Em breve completaremos 500 anos",24
"129",129," Este será um momento de reflexão sobre o que realizamos, o que somos e o que queremos ser",24
"130",130," Temos muito para nos orgulhar, do Brasil e dos brasileiros",24
"131",131," Um País que venceu o autoritarismo e implantou a democracia; em seguida, domou a inflação e está construindo a estabilidade, tem agora pela frente o desafio de edificar uma sociedade mais igualitária",24
"132",132," Esta é a minha visão do País para o século XXI",24
"133",133," Estou certo de que  é também o projeto de todos os brasileiros que vivem com indignação os graus de desigualdade que ainda subsistem entre nós",13
"134",134," Não há milagres nesta área",24
"135",135," O caminho é conhecido e será percorrido com persistência",24
"136",136," O  rumo  está  certo",24
"137",137,"  As  políticas  são  coerentes",24
"138",138,"  Já  começam  a  dar resultados",24
"139",139," Serão reforçadas",24
"140",140," Retificadas quando necessário",24
"141",141," Senhores Membros do Congresso Nacional, Pertenço a uma geração que desde cedo sonhou com a reforma social em nosso País",13
"142",142," Ansiava por participar dela",13
"143",143," Foi ativa na Universidade, tanto nas salas de aula, como nas ruas",13
"144",144," Lutou contra o arbítrio",2
"145",145," Com a redemocratização, viu renascerem as esperanças de mudar o País",24
"146",146," Com a estabilidade da economia, percebeu que recuperamos os instrumentos para edificar um Brasil melhor",1
"147",147," A vontade nunca faltou",24
"148",148," Ela continua firme",24
"149",149," O Brasil espera com impaciência por uma nação mais justa",13
"150",150," Esta é esperança que leio nos olhos dos milhares de brasileiras e de brasileiros que encontro em minhas viagens pelo País",24
"151",151," Estas são as vozes que ouço nas ruas",24
"152",152," Esta foi a missão que recebi das urnas",20
"153",153," Esta foi a mensagem enviada por um dos amigos mais queridos, Sergio Motta, companheiro de uma vida de lutas: “Não  se  apequene",24
"154",154,"  Cumpra  seu  destino  histórico",24
"155",155,"  Coordene  as transformações do País",24
"156",156,"” Assim farei",24
