"","linha","texto","categoria"
"73",73,"O PAC continuará sendo um instrumento de coesão da ação governamental e coordenação voluntária dos investimentos estruturais dos estados e municípios",20
"74",74," Será também vetor de incentivo ao investimento privado, valorizando todas as iniciativas de constituição de fundos privados de longo prazo",15
"75",75,"Por sua vez, os investimentos previstos para a Copa do Mundo e para as Olimpíadas serão concebidos de maneira a dar ganhos permanentes de qualidade de vida, em todas as regiões envolvidas",24
"76",76,"Este princípio vai reger também nossa política de transporte aéreo",10
"77",77," É preciso, sem dúvida, melhorar e ampliar nossos aeroportos para a Copa e as Olimpíadas",10
"78",78," Mas é mais que necessário melhorá-los já, para arcar com o crescente uso deste meio de transporte por parcelas cada vez mais amplas da população brasileira",10
"79",79,"Queridas brasileiras e queridos brasileiros,",24
"80",80,"Junto com a erradicação da miséria, será prioridade do meu governo a luta pela qualidade da educação, da saúde e da segurança",24
"81",81,"Nas últimas duas décadas, o Brasil universalizou o ensino fundamental",6
"82",82," Porém é preciso melhorar sua qualidade e aumentar as vagas no ensino infantil e no ensino médio",6
"83",83,"Para isso, vamos ajudar decididamente os municípios a ampliar a oferta de creches e de pré escolas",6
"84",84,"No ensino médio, além do aumento do investimento publico vamos estender a vitoriosa experiência do PROUNI para o ensino médio profissionalizante, acelerando a oferta de milhares de vagas para que nossos jovens recebam uma formação educacional e profissional de qualidade",6
"85",85,"Mas só existirá ensino de qualidade se o professor e a professora forem tratados como as verdadeiras autoridades da educação, com formação continuada, remuneração adequada e sólido compromisso com a educação das crianças e jovens",6
"86",86,"Somente com avanço na qualidade de ensino poderemos formar jovens preparados, de fato, para nos conduzir à sociedade da tecnologia e do conhecimento",6
"87",87,"Queridas brasileiras e queridos brasileiros,",24
"88",88,"Consolidar o Sistema Único de Saúde será outra grande prioridade do meu governo",3
"89",89,"Para isso, vou acompanhar pessoalmente o desenvolvimento desse setor tão essencial para o povo brasileiro",3
"90",90,"Quero ser a presidenta que consolidou o SUS, tornando-o um dos maiores e melhores sistemas de saúde pública do mundo",3
"91",91,"O SUS deve ter como meta a solução real do problema que atinge a pessoa que o procura, com uso de todos os instrumentos de diagnóstico e tratamento disponíveis, tornando os medicamentos acessíveis a todos, além de fortalecer as políticas de prevenção e promoção da saúde",3
"92",92,"Vou usar a força do governo federal para acompanhar a qualidade do serviço prestado e o respeito ao usuário",3
"93",93,"Vamos estabelecer parcerias com o setor privado na área da saúde, assegurando a reciprocidade quando da utilização dos serviços do SUS",3
"94",94,"A formação e a presença de profissionais de saúde adequadamente distribuídos em todas as regiões do país será outra meta essencial ao bom funcionamento do sistema",3
"95",95,"Queridas brasileiras e queridos brasileiros,",24
"96",96,"A ação integrada de todos os níveis de governo e a participação da sociedade é o caminho para a redução da violência que constrange a sociedade e as famílias brasileiras",20
"97",97,"Meu governo fará um trabalho permanente para garantir a presença do Estado em todas as regiões mais sensíveis à ação da criminalidade e das drogas, em forte parceria com Estados e Municípios",12
"98",98,"O estado do Rio de Janeiro mostrou o quanto é importante, na solução dos conflitos, a ação coordenada das forças de segurança dos três níveis de governo, incluindo - quando necessário - a participação decisiva das Forças Armadas",20
"99",99,"O êxito desta experiência deve nos estimular a unir as forças de segurança no combate, sem tréguas, ao crime organizado, que sofistica a cada dia seu poder de fogo e suas técnicas de aliciamento de jovens",12
"100",100,"Buscaremos também uma maior capacitação federal na área de inteligência e no controle das fronteiras, com uso de modernas tecnologias e treinamento profissional permanente",16
"101",101,"Reitero meu compromisso de agir no combate as drogas, em especial ao avanço do crack, que desintegra nossa juventude e infelicita as famílias",12
"102",102,"Queridas brasileiras e queridos brasileiros,",24
"103",103,"O pré-sal é nosso passaporte para o futuro, mas só o será plenamente se produzir uma síntese equilibrada de avanço tecnológico, avanço social e cuidado ambiental",17
"104",104,"A sua própria descoberta é resultado do avanço tecnológico brasileiro e de uma moderna política de investimentos em pesquisa e inovação",17
"105",105," Seu desenvolvimento será fator de valorização da empresa nacional e seus investimentos serão geradores de milhares de novos empregos",5
"106",106,"O grande agente desta política é a Petrobrás, símbolo histórico da soberania brasileira na produção energética",8
"107",107,"O meu governo terá a responsabilidade de transformar a enorme riqueza obtida no Pré Sal em poupança de longo prazo, capaz de fornecer às atuais e às futuras gerações a melhor parcela dessa riqueza, transformada, ao longo do tempo, em investimentos efetivos na qualidade dos serviços públicos, na redução da pobreza e na valorização do meio ambiente",1
"108",108," Recusaremos o gasto apressado, que reserva às futuras gerações apenas as dívidas e a desesperança",24
"109",109,"Meus queridos brasileiros e brasileiras,",24
"110",110,"Muita coisa melhorou em nosso país, mas estamos vivendo apenas o início de uma nova era",24
"111",111," O despertar de um novo Brasil",24
"112",112,"Recorro a um poeta da minha terra: ""o que tem de ser, tem muita força""",24
"113",113,"Pela primeira vez o Brasil se vê diante da oportunidade real de se tornar, de ser, uma nação desenvolvida",1
"114",114," Uma nação com a marca inerente da cultura e do estilo brasileiros --o amor, a generosidade, a criatividade e a tolerância",23
"115",115,"Uma nação em que a preservação das reservas naturais e das suas imensas florestas, associada à rica biodiversidade e a matriz energética mais limpa do mundo, permitem um projeto inédito de país desenvolvido com forte componente ambiental",7
"116",116,"O mundo vive num ritmo cada vez mais acelerado de revolução tecnológica",17
"117",117," Ela se processa tanto na decifração de códigos desvendadores da vida quanto na explosão da comunicação e da informática",17
"118",118,"Temos avançado na pesquisa e na tecnologia, mas precisamos avançar muito mais",17
"119",119," Meu governo apoiará fortemente o desenvolvimento científico e tecnológico para o domínio do conhecimento e a inovação como instrumento da produtividade",17
"120",120,"Mas o caminho para uma nação desenvolvida não está somente no campo econômico",24
"121",121," Ele pressupõe o avanço social e a valorização da diversidade cultural",13
"122",122," A cultura é a alma de um povo, essência de sua identidade",23
"123",123,"Vamos investir em cultura, ampliando a produção e o consumo em todas as regiões de nossos bens culturais e expandindo a exportação da nossa música, cinema e literatura, signos vivos de nossa presença no mundo",23
"124",124,"Em suma: temos que combater a miséria, que é a forma mais trágica de atraso, e, ao mesmo tempo, avançar investindo fortemente nas áreas mais sofisticadas da invenção tecnológica, da criação intelectual e da produção artística e cultural",24
"125",125,"Justiça social, moralidade, conhecimento, invenção e criatividade, devem ser, mais que nunca, conceitos vivos no dia-a-dia da nação",24
"126",126,"Queridos brasileiros e queridas brasileiras,",24
"127",127,"Considero uma missão sagrada do Brasil a de mostrar ao mundo que é possível um país crescer aceleradamente, sem destruir o meio-ambiente",19
"128",128,"Somos e seremos os campeões mundiais de energia limpa, um país que sempre saberá crescer de forma saudável e equilibrada",8
"129",129,"O etanol e as fontes de energia hídricas terão grande incentivo, assim como as fontes alternativas: a biomassa, a eólica e a solar",8
"130",130," O Brasil continuará também priorizando a preservação das reservas naturais e das florestas",7
"131",131,"Nossa política ambiental favorecerá nossa ação nos fóruns multilaterais",19
"132",132," Mas o Brasil não condicionará sua ação ambiental ao sucesso e ao cumprimento, por terceiros, de acordos internacionais",19
"133",133,"Defender o equilíbrio ambiental do planeta é um dos nossos compromissos nacionais mais universais",19
"134",134,"Meus queridos brasileiros e brasileiras,",24
"135",135,"Nossa política externa estará baseada nos valores clássicos da tradição diplomática brasileira: promoção da paz, respeito ao princípio de não-intervenção, defesa dos Direitos Humanos e fortalecimento do multilateralismo",19
"136",136,"O meu governo continuará engajado na luta contra a fome e a miséria no mundo",19
"137",137,"Seguiremos aprofundando o relacionamento com nossos vizinhos sul-americanos; com nossos irmãos da América Latina e do Caribe; com nossos irmãos africanos e com os povos do Oriente Médio e dos países asiáticos",19
"138",138," Preservaremos e aprofundaremos o relacionamento com os Estados Unidos e com a União Européia",19
"139",139,"Vamos dar grande atenção aos países emergentes",19
"140",140,"O Brasil reitera, com veemência e firmeza, a decisão de associar seu desenvolvimento econômico, social e político ao de nosso continente",19
"141",141,"Podemos transformar nossa região em componente essencial do mundo multipolar que se anuncia, dando consistência cada vez maior ao Mercosul e à Unasul",19
"142",142," Vamos contribuir para a estabilidade financeira internacional, com uma intervenção qualificada nos fóruns multilaterais",18
"143",143,"Nossa tradição de defesa da paz não nos permite qualquer indiferença frente à existência de enormes arsenais atômicos, à proliferação nuclear, ao terrorismo e ao crime organizado transnacional",19
"144",144,"Nossa ação política externa continuará propugnando pela reforma dos organismos de governança mundial, em especial as Nações Unidas e seu Conselho de Segurança",19
"145",145,"Queridas brasileiras e queridos brasileiros,",24
"146",146,"Disse, no início deste discurso, que eu governarei para todos os brasileiros e brasileiras",24
"147",147," E vou fazê-lo",24
"148",148,"Mas é importante lembrar que o destino de um país não se resume à ação de seu governo",24
"149",149," Ele é o resultado do trabalho e da ação transformadora de todos os brasileiros e brasileiras",24
"150",150," O Brasil do futuro será exatamente do tamanho daquilo que, juntos, fizermos por ele hoje",24
"151",151," Do tamanho da participação de todos e de cada um:",24
"152",152,"Dos movimentos sociais, dos que labutam no campo, dos profissionais liberais, dos trabalhadores e dos pequenos empreendedores, dos intelectuais, dos servidores públicos, dos empresários, das mulheres, dos negros, dos índios e dos jovens, de todos aqueles que lutam para superar distintas formas de discriminação",20
"153",153,"Quero estar ao lado dos que trabalham pelo bem do Brasil na solidão amazônica, na seca nordestina, na imensidão do cerrado, na vastidão dos pampas",21
"154",154,"Quero estar ao lado dos que vivem nos aglomerados metropolitanos, na vastidão das florestas; no interior ou no litoral, nas capitais e nas fronteiras do Brasil",7
"155",155,"Quero convocar todos a participar do esforço de transformação do nosso país",24
"156",156,"Respeitada a autonomia dos poderes e o princípio federativo, quero contar com o Legislativo e o Judiciário, e com a parceria de governadores e prefeitos para continuarmos desenvolvendo nosso País, aperfeiçoando nossas instituições e fortalecendo nossa democracia",20
"157",157,"Reafirmo meu compromisso inegociável com a garantia plena das liberdades individuais; da liberdade de culto e de religião; da liberdade de imprensa e de opinião",2
"158",158,"Reafirmo que prefiro o barulho da imprensa livre ao silêncio das ditaduras",2
"159",159," Quem, como eu e tantos outros da minha geração, lutamos contra o arbítrio e a censura, somos naturalmente amantes da mais plena democracia e da defesa intansigente dos direitos humanos, no nosso País e como bandeira sagrada de todos os povos",2
"160",160,"O ser humano não é só realização prática, mas sonho; não é só cautela racional, mas coragem, invenção e ousadia",24
"161",161," E esses são elementos fundamentais para a afirmação coletiva da nossa nação",24
"162",162,"Eu e meu vice Michel Temer fomos eleitos por uma ampla coligação partidária",20
"163",163," Estamos construindo com eles um governo onde capacidade profissional, liderança e a disposição de servir ao país serão os critérios fundamentais",6
"164",164,"Mais uma vez estendo minha mão aos partidos de oposição e as parcelas da sociedade que não estiveram conosco na recente jornada eleitoral",20
"165",165," Não haverá de zminha parte discriminação, privilégios ou compadrio",20
"166",166,"A partir deste momento sou a presidenta de todos os brasileiros, sob a égide dos valores republicanos",20
"167",167,"Serei rígida na defesa do interesse público",24
"168",168," Não haverá compromisso com o erro, o desvio e o malfeito",12
"169",169," A corrupção será combatida permanentemente, e os órgãos de controle e investigação terão todo o meu respaldo para aturem com firmeza e autonomia",12
"170",170,"Queridas brasileiras e queridos brasileiros,",24
"171",171,"Chegamos ao final desse longo discurso",24
"172",172," Dediquei toda a minha vida a causa do Brasil",24
"173",173," Entreguei minha juventude ao sonho de um país justo e democrático",24
"174",174," Suportei as adversidades mais extremas infligidas a todos que ousamos enfrentar o arbítrio",24
"175",175," Não tenho qualquer arrependimento, tampouco ressentimento ou rancor",24
"176",176,"Muitos da minha geração, que tombaram pelo caminho, não podem compartilhar a alegria deste momento",24
"177",177," Divido com eles esta conquista, e rendo-lhes minha homenagem",24
"178",178,"Esta dura caminhada me fez valorizar e amar muito mais a vida e me deu sobretudo coragem para enfrentar desafios ainda maiores",24
"179",179," Recorro mais uma vez ao poeta da minha terra:",24
"180",180,"""O correr da vida embrulha tudo",24
"181",181," A vida é assim: esquenta e esfria, aperta e daí afrouxa, sossega e depois desinquieta",24
"182",182," O que ela quer da gente é coragem""",24
"183",183,"É com esta coragem que vou governar o Brasil",24
"184",184,"Mas mulher não é só coragem",24
"185",185," É carinho também",24
"186",186,"Carinho que dedico a minha filha e ao meu neto",24
"187",187," Carinho com que abraço a minha mãe que me acompanha e me abençoa",24
"188",188,"É com este mesmo carinho que quero cuidar do meu povo, e a ele - só a ele - dedicar os próximos anos da minha vida",24
"189",189,"Que Deus abençoe o Brasil!",24
"190",190,"Que Deus abençoe a todos nós!""",24
