"","linha","texto","categoria"
"13",13," Sou muito grato aos companheiros do Congresso Nacional, aos deputados e senadores que ajudaram com que o debate político, mesmo quando estava mais radicalizado, não atrapalhasse que as coisas de interesse da nossa Nação fossem votadas e conseguimos aprovar praticamente tudo o que o governo mandou ao Congresso Nacional e, certamente, o Congresso Nacional, pela sua pluralidade, pela sua prática democrática e por ser a consciência do povo brasileiro no dia das eleições, continuará ajudando para que este País continue dando certo e crescendo",20
"14",14," Quero agradecer aos trabalhadores, aos estudantes, às mulheres e aos homens deste País que não só nos ajudaram a consolidar a democracia, mas saíram às ruas para conquistar aquilo que durante muitos e muitos anos nós tentávamos conquistar e não conseguíamos",24
"15",15," Eu me lembro de que quando fui dirigente sindical, a gente tinha até dificuldade de entrar no Congresso Nacional",20
"16",16," Neste Palácio, nem pensar",24
"17",17," Hoje, os trabalhadores conquistaram não apenas o direito de fazer acordos salariais melhores do que faziam antes, os trabalhadores conquistaram um aumento de salário mínimo que é o maior dos últimos 30 anos, os trabalhadores conquistaram o direito de entrar nesta Casa como se esta Casa fosse a casa deles, porque não pode ser diferente, o palácio de um governo tem que ser o palácio do povo brasileiro",5
"18",18," Eu sinto orgulho, porque normalmente os palácios presidenciais são feitos para um determinado tipo de gente e, na minha concepção, o palácio do Presidente da República precisa receber rainhas, precisa receber reis, precisa receber príncipes, precisa receber empresários, pequenos, grandes e médios, precisa receber deputados, senadores, governadores, mas este Palácio precisa se habituar, a partir do meu governo, a receber aqueles que vivem nas ruas catando o papel que nós jogamos, para reciclar e fazer desse trabalho penoso a sua sobrevivência com dignidade",20
"19",19," Este Palácio precisa aprender a receber as minorias marginalizadas deste País",2
"20",20," Este Palácio precisa aprender a receber os negros, os índios, as",2
"21",21,"mulheres",2
"22",22," E este Palácio precisa aprender a receber aqueles que, muitas vezes, não conseguem nem passar perto do Palácio, quanto mais entrar nele",13
"23",23," E fazemos isso porque queremos consolidar a democracia brasileira de tal forma, numa relação sadia e produtiva com a sociedade, participando das conferências nacionais, ouvindo o povo, porque é com a sabedoria popular que o governante aprende a errar menos e a acertar mais, e vou continuar governando desse jeito: ouvindo cada vez mais, porque eu aprendi que, na sua sabedoria divina, Deus fez a gente com uma boca para falar menos e dois ouvidos para escutar mais, e isso falta um pouco na política nacional",24
"24",24," Por fim, meus companheiros e companheiras, se me permitem tratá-los assim, eu quero dizer para vocês que os quatro anos que temos pela frente são quatro anos mais compensadores mas, ao mesmo tempo, mais difíceis do que os primeiros quatro",24
"25",25," Eu tenho noção do que significa as coisas que nós fizemos, tenho noção que já fizemos muito",24
"26",26," Mas, ao mesmo tempo, tenho noção que diante das necessidades do povo e diante da quantidade de décadas e décadas de dívida social com o povo brasileiro, mesmo fazendo muito, nós fizemos muito menos do que aquilo que precisa ser feito para que a gente possa tornar o Brasil um país mais justo, mais equânime, onde todas as pessoas possam conquistar a cidadania plena, com o direito de trabalhar, de estudar, de ter acesso à cultura, ao lazer, a tomar café de manhã, almoçar, jantar, tirar férias e cuidar da sua família",13
"27",27," E ter a certeza de que os seus filhos vão estudar numa escola de qualidade e que os filhos das pessoas mais pobres deste País têm que sonhar  em ter acesso à mesma universidade do filho do mais rico deste País, porque é assim que a gente vai construir uma democracia forte, uma democracia sólida",13
"28",28," Quero agradecer a todos vocês",24
"29",29," Eu digo sempre que se tem uma coisa que eu aprendi a respeitar, ao longo desses 30 anos de vida política, foi a relação com o povo",24
"30",30," Eu, na política, já fui enganado muitas vezes",24
"31",31," Muitas vezes, a gente vê as pessoas próximas da gente desaparecerem",24
"32",32," Agora, nessa minha relação com o povo brasileiro, desde quando eu comecei, no movimento sindical, em 1969, em nenhum momento difícil da minha história esse povo faltou com a solidariedade, com o companheirismo, assumindo, às vezes, a tarefa de fazer aquilo que nós não tínhamos condições de fazer",24
"33",33," Quero dizer a vocês que esses próximos quatro anos serão quatro anos de muito trabalho",24
"34",34," E vamos trabalhar mais do que trabalhamos no primeiro, porque já conhecemos os caminhos das pedras, já conhecemos onde é que as coisas, muitas vezes, emperram",24
"35",35," E nós, que sabemos que a economia brasileira precisa crescer, gerar empregos e distribuição de renda, sabemos que precisamos destravar o País para que ele possa crescer, para que ele possa gerar a quantidade de empregos, e empregos formais, com carteira assinada, porque aí, sim, o trabalhador brasileiro vai estar mais qualificado e vivendo um pouco melhor",1
"36",36," Quero agradecer aos nossos convidados que estão aqui",24
"37",37," Muita gente importante, eu estou vendo daqui, muita gente que veio, nesta segunda-feira chuvosa, prestigiar esta posse, que lamentavelmente a gente não conseguiu mudar e continua sendo no dia 1o de janeiro, quando poderia ser numa sexta- feira, para a gente fazer, realmente, uma grande festa",24
"38",38," Quero olhar na cara de cada homem e de cada mulher e dizer para vocês: eu e o companheiro José Alencar, se for necessário, daremos a nossa vida para que a gente possa cumprir cada palavra e cada compromisso que assumimos com vocês, para que a gente possa fortalecer a democracia do nosso País, para que a gente possa garantir que a parte mais pobre da população seja tratada com o respeito e com a decência que deveria ter sido tratada há muito tempo, porque se assim o fosse nós não teríamos  a quantidade de pobres que temos no Brasil",13
"39",39," Quero dizer para vocês que sou Presidente de todos, sem distinção de credo religioso, sem distinção de compromissos ideológicos",20
"40",40," Sou Presidente de todos sem me preocupar com a origem social de cada um",20
"41",41," Mas não se enganem, mesmo sendo Presidente de todos eu continuarei fazendo o que faz uma mãe, eu cuidarei primeiro daqueles mais necessitados, daqueles mais fragilizados, daqueles que mais precisam do Estado brasileiro",13
"42",42," Por isso, meus companheiros e companheiras, eu vou parar por aqui, dizendo a vocês – porque depois eu vou descer aí para dar um abraço em vocês – que nós, este mês, já lançaremos o pacote de propostas para o desenvolvimento deste País",1
"43",43," Isso foi discutido com empresários, com trabalhadores, e nós queremos fazer com que o Brasil crie um momento de confiança e de otimismo",1
"44",44," Aqueles que apostarem no fracasso do Brasil serão derrotados",24
"45",45," Aqueles que acreditarem que este País nasceu para ser um país de crescimento inibido, para ser um país de eterno pequeno crescimento, podem começar a se preparar porque este País vai ter um crescimento vigoroso",1
"46",46," Mas não um crescimento como tivemos em outra época, em que o País crescia e o povo continuava pobre, o País crescia e não se distribuía o resultado desse crescimento",13
"47",47," Nós temos que ter consciência de que o País precisa crescer, mas o que precisa crescer, também, concomitante com o crescimento da economia, com o crescimento da indústria, com o crescimento da agricultura, é o crescimento da melhoria da qualidade de vida das nossas crianças, das nossas mulheres, dos nossos jovens",13
"48",48," É o crescimento da oportunidade para uma educação de qualidade, é o crescimento de uma distribuição de renda em que o povo possa viver com mais dignidade, viver melhor e cuidar da sua família",13
"49",49," Eu estou convencido de que o que aconteceu no Rio de Janeiro na semana passada é resultado de um processo de degradação da estrutura da sociedade brasileira, causada, quem sabe, pela perda de valores, quem sabe por problemas que precisam ser resolvidos a partir de dentro da nossa casa, porque é preciso que a família brasileira seja a base, o alicerce, dessa sociedade pujante que nós queremos criar",12
"50",50," Se dentro da família houver desagregação, se pai e mãe não se entenderem, se filho e pai não se entenderem, tudo vai ficar mais difícil, e não será a polícia que vai resolver",12
"51",51," O que vai resolver é cada um de nós voltar os nossos olhos para o que aconteceu no Rio de Janeiro e não ficar culpando o governo do estado, não ficar culpando o Presidente da República ou o prefeito da  cidade, porque aquilo que está acontecendo é resultado de erros históricos acumulados por toda a sociedade brasileira, que precisa, também, a sociedade como um todo, assumir a responsabilidade de ajudar os estados, os municípios e o governo federal, a encontrar uma solução definitiva",20
"52",52," Eu não creio que tenha, no Brasil, nenhuma alma que possa compactuar com a barbaridade que foi feita por alguns facínoras",12
"53",53," O que eu queria dizer para vocês, e quero aproveitar porque eu sei que o governador Sérgio Cabral está aqui, como também quero falar para os governadores de outros estados: eu vou discutir com o meu Ministro da Justiça, porque essa barbaridade que aconteceu no Rio de Janeiro não pode ser tratada como crime comum",12
"54",54," Isso é terrorismo e tem que ser combatido com uma política forte e com uma mão forte do Estado brasileiro",16
"55",55," Aí já extrapolou o banditismo convencional que nós conhecíamos",16
"56",56," Quando um grupo de chefes, de dentro da cadeia, consegue dar ordens para fazer uma barbaridade daquelas, matando inocentes, eu quero dizer ao meu governo e aos governos estaduais: nós precisamos discutir profundamente, porque o que aconteceu no Rio de Janeiro foi uma prática terrorista das mais violentas que eu tenho visto neste País e, como tal, tem que ser combatida",12
"57",57," Se tem uma coisa que nós precisamos garantir é o direito de homens livres e honestos, homens trabalhadores, saírem de casa de manhã e voltarem para casa à tarde com o sustento da sua família",16
"58",58," Nós não podemos continuar permitindo a inquietação dentro de cada casa, a inquietação dentro de cada cidade ou de cada estado, e essa é uma tarefa que não é de um homem e não é de um partido, é de toda uma nação, de todos os estados e de todas as cidades",16
"59",59," Eu tenho certeza de que nós teremos quatro anos de muito otimismo neste País, de muito crescimento",1
"60",60," Por isso, em meu nome, em nome de José Alencar, da minha Marisa e da Mariza do José Alencar, em nome do meu governo, em nome dos meus Ministros, em nome do povo brasileiro, eu quero, mais uma vez, dizer: obrigado, meu Deus, por vocês existirem e terem a compreensão que vocês têm, porque só vocês podem ajudar este País a dar o salto de qualidade que o nosso País precisa",24
"61",61," Muito obrigado",24
"62",62," Feliz Ano Novo e amanhã é dia de nós dizermos, em alto e bom som: deixa o homem trabalhar, senão o País não cresce como precisa crescer",24
"63",63," Um abraço",24
