"","X","linha","texto","categoria","comentario"
"17",17,17,"Em diferentes momentos e funções, tive a felicidade de trabalhar com alguns dos mais destacados diplomatas brasileiros das últimas décadas, entre os quais, pela proximidade que mantivemos e a intensidade do que com eles compartilhei, quero destacar Celso Amorim, Samuel Pinheiro Guimarães e Luiz Felipe de Seixas Corrêa",24,"Sobre o emissor"
"18",18,18," Com todos eles aprendi a admirar a maneira pela qual expressam seu compromisso inalienável com o Brasil, conduzindo o Itamaraty na função de Estado que esta Casa exerce desde a sua criação: identificar, recolher, sintetizar, interpretar, promover e proteger as mais altas e legítimas aspirações e interesses nacionais, em permanente interação com o mundo exterior",24,"Sobre o emissor"
"19",19,19," Também tive o privilégio de trabalhar fora do Itamaraty, sob a liderança do saudoso Ministro Renato Archer, que tanto me ensinou sobre o nosso país, no momento da criação do Ministério da Ciência e Tecnologia, em 1985",24,"Sobre o emissor"
"20",20,20,"Mesmo em meio a dificuldades e frustrações, o trabalho cotidiano de todos nós, no Brasil e no exterior, jamais deixou de ter o sentido último que nos fez optar por uma profissão singular, que nos movimenta constantemente pelas paisagens do mundo – contribuir, pela melhor articulação do País com a sua região e o mundo, para engrandecer a Nação, para tornar o Brasil real cada vez mais parecido com o país sonhado por nós",24,"Sobre o emissor e seus companheiros"
"21",21,21,"Somos herdeiros orgulhosos daqueles que ajudaram a fundar a nossa soberania, a consolidar a nossa Independência, a definir o nosso território e a projetar cada vez mais a nossa presença no mundo",24,"Sobre o emissor e seus companheiros"
"22",22,22," Orgulhamo-nos de ser os instrumentos da ação internacional de um grande país que encara o mundo e seus parceiros com uma visão de cooperação, de ajuda recíproca, de compromisso com o desenvolvimento social e humano e, portanto, de compromisso com o aprimoramento das instituições da governança global e regional no melhor interesse dos povos",24,"Sobre o emissor"
"23",23,23,"Senhoras e Senhores, meus colegas",24,"evocação"
"24",24,24,"Em seu discurso de posse perante o Congresso Nacional, ontem, a Senhora Presidenta traçou as linhas gerais da política externa que deseja ver executada em seu segundo mandato",24,"Dilma"
"25",25,25," Mais que isso, a Presidenta traçou as linhas gerais das políticas públicas que pretende desenvolver, deixando claro para a diplomacia brasileira que papel deverá desempenhar para coadjuvar os esforços do Governo no plano interno, para fazer das relações internacionais do Brasil um instrumento de apoio e impulso a essas políticas, a começar pela política macroeconômica",24,"Dilma"
"26",26,26,"É um discurso que valoriza a agenda internacional do Brasil e a encara com sentido de pragmatismo e de projeto nacional",24,"Dilma"
"27",27,27," Ele será o nosso plano de trabalho, a partir do qual consolidaremos ou alteraremos estratégias de atuação a fim de atuar em plena sintonia com os objetivos do Governo",24,"plano de atuação"
"28",28,28,"Essa agenda internacional impõe hoje ao Brasil grandes desafios",24,"desafios da agenda"
"29",29,29," Devemos enfrentá-los com determinação, com criatividade e, sobretudo, com a consciência plena da nossa identidade de nação-continente e de país sul-americano, com uma história de dedicação à paz e ao desenvolvimento econômico e social em todo o mundo – uma história da qual podemos nos orgulhar cada vez mais e de que o Itamaraty sente-se guardião",24,"Caravterísticas gerais do Brasil"
"30",30,30,"Os Governos do Presidente Lula e da Presidenta Dilma Rousseff têm sido fundamentais na reafirmação dessa identidade e do próprio do Brasil, dessa aspiração de sermos grandes, respeitados, influentes, sem perder de vista, jamais, a visão do outro, única forma de agir com equilíbrio e sabedoria diante dos desafios",24,"PEB de Lula e Dilma"
"31",31,31,"As relações exteriores constituem um campo fundamental para alcançar o desenvolvimento nacional entendido no sentido mais amplo, o sentido que lhe dá a Presidenta Dilma Rousseff, um conceito onde se conjuga o crescimento econômico, a justiça social, o respeito aos direitos humanos, o acesso à educação e aos serviços básicos, o direito ao trabalho digno, em suma: a participação de todos os brasileiros na tarefa de construir esta Nação e nos frutos dessa tarefa comum",24,"Tão ambíguo a ponto de abarcar todas as categorias"
"32",32,32,"A inter-relação entre os assuntos internos e os internacionais é cada vez maior",24,"Interméstico"
"33",33,33," O mundo globalizado diluiu as fronteiras entre a política externa em sua concepção clássica e as outras esferas da ação estatal, criando uma interconexão entre as dimensões doméstica e internacional",24,"Interméstico"
"34",34,34," Em cada grande tema da política externa, administrar essa interconexão não depende apenas do Itamaraty",24,"Interméstico"
"35",35,35," Mas cabe fundamentalmente ao Itamaraty operar em sintonia com as diferentes áreas do Governo, gerando as sinergias que reforçarão a ação e a posição negociadora do Brasil no mundo",24,"Interméstico e papel do Itamaraty"
"36",36,36,"O Itamaraty tem papéis muito claramente definidos no âmbito do Governo e perante a sociedade brasileira",24,"Papel do Itamaraty"
"37",37,37," Como fazem todas as diplomacias no mundo, somos a primeira linha de representação e de negociação do país lá fora",24,"Papel do Itamaraty"
"38",38,38," Temos também uma vocação especial para ajudar a sociedade e os agentes econômicos e sociais brasileiros a melhor compreender o mundo, nossos interesses e a própria agenda diplomática brasileira",24,"Papel do Itamaraty"
"39",39,39," São, sem dúvida, tarefas extremamente complexas",24,"Papel do Itamaraty"
"40",40,40," A elas esta Casa tem-se dedicado historicamente, adaptando-se aos novos desafios quando foi necessário",24,"Papel do Itamaraty"
"41",41,41," Assim continuaremos a operar",24,"Papel do Itamaraty"
"48",48,48,"A agenda que nos espera em 2015 e nos próximos anos é ampla e promissora, como indicou a Senhora Presidenta em seu discurso de posse",24,"Sem ambiguidade"
"49",49,49," De acordo com nossa tradicional linha de ação, a um tempo regional e universalista, trataremos de consolidar a América do Sul como espaço de integração em todos os âmbitos e ampliar esforços no mesmo sentido com o restante da região; os laços com o mundo desenvolvido – Estados Unidos, União Européia e Japão; as relações com os BRICS e com os países emergentes; com nossos irmãos da África e do Oriente Médio, em especial com os países de língua portuguesa; com todos os membros da comunidade internacional",24,"Ambíguo demais para alocar"
"51",51,51,"Atuaremos serenamente em todas as frentes novas e tradicionais da diplomacia brasileira",24,"Em que local atuará"
"54",54,54,"Senhoras e Senhores, caros colegas",24,"Outros"
"62",62,62,"Assim como no cenário comercial e na área consular e de brasileiros no exterior, teremos projetos e propostas construtivas em todas as demais áreas de atuação da diplomacia",24,"Sem ambiguidade"
"63",63,63,"O Brasil continuará a exercer seu papel de ator global, pois esse papel corresponde à sua realidade e às aspirações profundas do seu povo",24,"Sem ambiguidade"
"64",64,64," E o Itamaraty continuará contribuindo para articular os múltiplos vetores de nossa inserção internacional que recaem sob a sua responsabilidade",24,"Sem ambiguidade"
"65",65,65," Faremos isso em coordenação com todos os órgãos de Governo e em consulta com o Congresso, a sociedade civil e os agentes econômicos",24,"Sem ambiguidade"
"66",66,66," E saberemos sempre informar da nossa ação e prestar contas do que fazemos",24,"Sem ambiguidade"
"67",67,67,"Caros colegas, Senhoras e Senhores",24,"exortar"
"68",68,68,"Para bem exercer sua vocação e manter-se habilitado a operar num mundo em veloz transformação, o Itamaraty necessita constantemente adaptar sua organização interna",24,"Sobre o Itamaraty"
"69",69,69," Quero afirmar aqui meu compromisso com o aprimoramento e modernização dos métodos de trabalho do Itamaraty, com o fortalecimento e o aprimoramento da Carreira Diplomática e das demais carreiras do Serviço Exterior",24,"Sobre o Itamaraty"
"70",70,70,"Juntos, procuraremos soluções práticas para os problemas que são específicos do Serviço Exterior em razão da sua natureza única dentro do Serviço Público",24,"Sobre o Itamaraty"
"71",71,71," As questões centrais de seleção, formação, progressão funcional, remuneração, circulação entre postos e aperfeiçoamento profissional ao longo da carreira, precisam ser enfrentadas, à luz dos objetivos e do alcance da política externa, com o propósito de preservar e valorizar o extraordinário capital humano do Ministério e dele extrair o melhor rendimento para o conjunto da sociedade",24,"Sobre reformas na instituição"
"72",72,72,"Nessa tarefa, em consulta sempre com a Casa, contaremos também com as ideias que foram reunidas em ampla consulta promovida pelo Ministro Figueiredo",24,"Sobre reformas na instituição"
"73",73,73," Darei especial atenção aos anseios dos colegas mais jovens, cuja dedicação entusiasmada sempre foi um dos esteios fundamentais do Itamaraty e sem a qual não teríamos a força de trabalho e o espírito de renovação que nos distingue",24,"Sobre reformas na instituição"
"74",74,74,"Renovar a instituição é fortalecê-la",24,"Sobre reformas na instituição"
"75",75,75," E não há renovação possível sem o aporte criativo das novas gerações, que suprem, com o seu entusiasmo e engajamento, o que o aprendizado da experiência ainda não lhes tenha ensinado",24,"Sobre reformas na instituição"
"76",76,76,"Quero transmitir uma palavra especial aos colegas do Serviço Exterior que se encontram por todo o mundo, nas trincheiras da nossa diplomacia, muitas vezes sob a pressão de imensas dificuldades e sentindo-se distantes",24,"Sobre reformas na instituição"
"77",77,77,"Buscarei apoiá-los em tudo o que estiver ao meu alcance para que possam enfrentar os permanentes desafios materiais que vivem os Postos no exterior",24,"Sobre reformas na instituição"
"78",78,78,"Nossa rede, como todos sabem, expandiu-se de forma sem precedentes, e constitui um extraordinário instrumento de promoção dos interesses nacionais que precisamos gerir",24,"Sobre reformas na instituição"
"79",79,79," Estaremos atentos às necessidades de cada posto, às suas prioridades de atuação, às instruções que devem receber, ao papel insubstituível de cada Embaixada, Missão ou Consulado na estratégia externa que o Brasil deve seguir",24,"Sobre reformas na instituição"
"80",80,80,"Terei sempre em mente que não basta estarmos presentes no mundo, é preciso sermos atuantes",24,"Sobre reformas na instituição"
"81",81,81," O valioso simbolismo da presença não pode substituir uma diplomacia de resultados, e resultados, que se medem com números, se obtêm com consciência da missão, com ação, com engajamento, com meios, enfim",24,"Sobre reformas na instituição"
"82",82,82,"Os desafios que a Instituição enfrenta em seu funcionamento não são novos, e não são, no Brasil ou no mundo, exclusivos do Itamaraty",24,"Sobre reformas na instituição"
"83",83,83," São comuns a muitas das grandes chancelarias, que como a nossa buscam adaptar-se às grandes transformações em curso e servir de forma pragmática aos interesses nacionais",24,"Sobre reformas na instituição"
"84",84,84," Para fazer face a essas mudanças, contamos com recursos que são finitos",24,"Sobre reformas na instituição"
"85",85,85," Precisamos, portanto, concentrar nossos recursos, nossa força de trabalho, onde ela é mais necessária em cada momento, e para tanto precisamos de flexibilidade, agilidade, versatilidade",24,"Sobre reformas na instituição"
"86",86,86,"Tenho certeza de que nosso recurso mais precioso, o empenho e dedicação de todos os funcionários, não faltará",24,"Sobre reformas na instituição"
"87",87,87," Trabalharei para que esse patrimônio humano insubstituível seja em todos os momentos valorizado e incentivado, em todos os níveis funcionais, em todas as unidades, em todos os Postos",24,"Sobre reformas na instituição"
"88",88,88,"Trabalharei de forma incessante, sob a orientação da Senhora Presidenta da República, para dotar o Ministério das Relações Exteriores, tanto a Secretaria de Estado quanto os Postos no Exterior, dos meios necessários à sua missão",24,"Sobre reformas na instituição"
"89",89,89,"  Para que a nossa presença no mundo, hoje universal, se faça mais atuante, produzindo mais resultados concretos para o País",24,"Sobre reformas na instituição"
"90",90,90,"Ao aceitar o seu honroso convite, recebi da Presidenta Dilma Rousseff, pessoalmente, a garantia de seu total apoio",24,"Reformas, agradecimentos, citações e finais"
"91",91,91," Esse engajamento da Chefe de Estado deve tranqüilizar-nos e ajudar-nos a encarar com determinação as tarefas que nos aguardam",24,"Reformas, agradecimentos, citações e finais"
"92",92,92,"Também convoquei para essa tarefa, na condição de meu Secretário-Geral, o Embaixador Sérgio França Danese, atual Subsecretário-Geral das Comunidades Brasileiras no Exterior",24,"Reformas, agradecimentos, citações e finais"
"93",93,93," O Embaixador Danese, amigo de muitos anos, foi meu colega em quatro diferentes postos no exterior e no Brasil, e conhece bem o meu pensamento e  minha forma de atuar",24,"Reformas, agradecimentos, citações e finais"
"94",94,94," Estou seguro de que a Casa o acolherá nessa função com plena compreensão do significado da minha escolha",24,"Reformas, agradecimentos, citações e finais"
"95",95,95,"Caros colegas, Senhoras e Senhores",24,"Reformas, agradecimentos, citações e finais"
"96",96,96,"É para mim uma imensa responsabilidade e um honroso privilégio assumir hoje a direção desta grande instituição, à qual já dediquei dois terços da minha vida",24,"Reformas, agradecimentos, citações e finais"
"97",97,97," Para estar à altura desse desafio, conto com todos e cada um dos funcionários desta Casa, cujo espírito público e dedicação ao Brasil se tem comprovado ao longo da História",24,"Reformas, agradecimentos, citações e finais"
"98",98,98," E, para que possamos todos continuar a trabalhar em harmonia e com pleno sentido de realização pessoal e profissional, quero que contem comigo, sempre",24,"Reformas, agradecimentos, citações e finais"
"99",99,99,"Muito obrigado",24,"Reformas, agradecimentos, citações e finais"
