"","X","linha","texto","categoria","comentario"
"11",11,11," Nos Chefes que ajudaram a minha formação, especialmente nas figuras de Antônio Francisco Azeredo da Silveira, Ramiro Guerreiro, George Álvares Maciel, Paulo Tarso Flecha de Lima e Ronaldo Costa, com quem tive o privilégio de trabalhar no Brasil e no exterior, e na pessoa sempre presente do meu pai, o Embaixador João Gracie Lampreia, que aqui homenageio com devoção e carinho, busco a inspiração e o exemplo para guiar-me no cumprimento desta responsabilidade que me impõe agora o Presidente Fernando Henrique",24,"Sobre o emissor"
"12",12,12," Senhor Ministro Celso Amorim, Agradeço muito sensibilizado as expressões de apreço e amizade que me dirigiu",24,"Agradecimento"
"13",13,13," Vindas do meu caro amigo Celso Amorim, cujas qualidades pessoais, intelectuais e pro- fissionais eu sempre admirei, essas palavras cobram um sentido único de incentivo",24,"Agradecimento"
"14",14,14," Ninguém em melhor do que Fernando Henrique para estar então a frente do Itamaraty, a que imprimiu um ânimo novo, construído ou reforçando amizades sólidas entre nós, projetando-se ainda mais no plano internacional, em que já figurava como referência obrigatória nas ciências sociais e nos estudos latino-americanos, e estendendo o já amplo domínio que sempre teve sobre os temas que interessam a causa do nosso desenvolvimento econômico e social e de uma melhor inserção do Brasil no mundo",24,"Sobre FHC"
"15",15,15," Substituir um colega na cadeira de Rio Branco tem um significado especial nos rituais do Itamaraty",24,"Sobre o emissor"
"16",16,16," O Presidente honrou mais uma vez a nossa instituição ao entregar a um",24,"Sobre FHC"
"17",17,17,"profissional a sua condução, quando tinha todos 0s motivos - do seu ",24,"Sobre FHC"
"18",18,18," próprio",24,"Sobre FHC"
"19",19,19," êxito como Chanceler a qualidade dos demais membros da sua equipe meticulosamente construída para seguir um caminho diverso",24,"Sobre FHC"
"20",20,20," Escolhido agora seu Chanceler, espero responder a altura a essa mostra de confiança",24,"Sobre o emissor"
"21",21,21," Esta passagem de cargo se fez, pois, com um sentido exemplar de continuidade e inovação",24,"Sobre o emissor"
"22",22,22," De continuidade, porque exercerei meu cargo construindo sobre um patrimônio de realizações da gestão que hoje se conclui",24,"Sobre o emissor"
"23",23,23," De inovação, porque é próprio do trabalho humano que se olhe para o futuro com a certeza de que as transformações são possíveis e com a coragem de vê-las como necessárias e mesmo urgentes: com a convicção de que o passado, ainda o mais recente, pode e deve servir de matéria-prima para o continuado aperfeiçoamento das instituições humanas e da ação dos Governos e das sociedades",24,"Sobre o emissor e inovação"
"24",24,24," A você, Celso, desejo todas as felicitações na sua nova e importante missão",24,"Felicitações à Celso Amorim"
"25",25,25," Estou certo de que, em Nova York, você prosseguirá a contribuição expressiva que sempre trouxe ao Itamaraty ao longo da sua carreira",24,"Felicitações à Celso Amorim"
"26",26,26," Seu êxito será parte do nosso próprio sucesso",24,"Felicitações à Celso Amorim"
"27",27,27," Sei que interpreto o sentimento de todos os nossos colegas, seus amigos, ao manifestar o agradecimento, a você e aos seus colaboradores mais diretos, pelo expressivo trabalho e reconhecida dedicação neste ano e meio de realizações que já constituem um legado da nossa diplomacia e que saberemos utilizar e levar adiante em proveito do Brasil",24,"Agradecimentos"
"28",28,28," Senhoras e Senhores, Em seu discurso de posse e em seu programa de Governo, o Presidente Fernando Henrique expôs uma visão do mundo e do Brasil e a forma como concebe o trabalho da diplomacia brasileira sob a sua orientação",24,"Discurso de FHC"
"29",29,29," Esses são, a partir de agora, textos de referência obrigatória na concepção das estratégias e na ação do Itamaraty",24,"Discurso de FHC"
"30",30,30," Nesses textos e em outras ocasiões em que tratou da política externa do seu Governo, o Presidente deu-nos diretrizes claras",24,"Discurso de FHC"
"31",31,31," Essas diretrizes emanam da sua própria concepção do desenvolvimento brasileiro e do papel que ele vê para o seu mandato na consolidação da estabilidade econômica e na retomada do crescimento em bases sustentáveis e com justiça e equidade",24,"Discurso de FHC"
"32",32,32," A política externa será assim o resultado de uma visão orgânica do inundo e do Brasil, em plena sintonia com um projeto de Governo que recebeu o mais consagrador dos avais, o mandato outorgado pelo expressivo sufrágio popular que elegeu o Presidente",24,"Discurso de FHC e sobre PEB"
"33",33,33," O Brasil inaugura este quadriênio de Governo com uma nova projeção internacional, graças a combinação da estabilidade em consolidação com a retomada do crescimento em patamares compatíveis com as nossas necessidades e aspirações",24,"Sobre PEB"
"40",40,40," Contamos com uma auto-confiança que há muito não se via no pais, com a diferença de que hoje as razões objetivas para esse sentimento são sólidas e duráveis",24,"Outros"
"43",43,43," Somos um grande país, com tradição de crescimento e uma longa história de participação no mundo e melhoram as condições para alcançarmos melhores resultados econômicos e sociais",24,"Outros"
"49",49,49," E essas alterações prosseguirão, como tem apontado o Presidente Fernando Henrique, reforçando nosso capital político e nosso instrumental de atuação",24,"FHC"
"56",56,56," Nesse panorama de renovação do Brasil e de consolidação de novas credenciais para operarmos no plano externo, contamos com um Presidente que tem uma manifesta disposição de estar à frente da política externa, participando intensamente da diplomacia de Chefes de Estado e Governo que é a marca das relações internacionais contemporâneas e uma característica particularmente importante da diplomacia hemisférica",24,"Diplomacia presidencial"
"57",57,57," Por suas qualidades de intelectual e cidadão do mundo, nosso Presidente nos dá condições de participação e acesso inigualáveis no diálogo de alto nível",24,"Diplomacia presidencial"
"58",58,58," Jamais em toda a História do Brasil o Itamaraty terá contado com uma circunstância comparável para a execução da politica externa",24,"Diplomacia presidencial"
"59",59,59," Senhoras e Senhores",24,"Exortação"
"60",60,60," A diplomacia opera a ponte que liga a Nação ao mundo",24,"Sobre o cenário domêstico"
"61",61,61," Ao Itamaraty, em permanente diálogo com a sociedade, cabe estar na linha de frente da compreensão da verdadeira natureza das transformações que estão ocorrendo no cenário internacional, trazendo oportunidades e desafios",24,"Sobre o cenário domêstico"
"62",62,62," Temos uma conjunção de fatores favoráveis nunca vista: - a retomada do crescimento nos países desenvolvidos, ainda que a taxas modestas",24,"Sobre o cenário domêstico"
"72",72,72," No mundo de hoje, o poder cada vez mais se mede por outros fatores que não o poderio estratégico e militar",24,"Sobre a natureza do poder"
"74",74,74," Um processo decisório mais ágil e descentralizado caracteriza as relações internacionais de hoje",24,"Processo decisório"
"75",75,75," que se definem cada vez mais como um jogo feito em diversos tabuleiros, mais aberto a participação dos países, mesmo que em condições menos vantajosas de saída, desde que se conte - a exemplo do que nós estamos crescentemente fazendo – com as capacidades adequadas",24,"Processo decisório e tabuleiros"
"77",77,77," Senhoras e Senhores",24,"Exortar"
"78",78,78," O papel da diplomacia brasileira e particularmente do Itamaraty é o de coadjuvar os esforços do Brasil por uma nova inserção internacional, que responda de forma adequada e produtiva a inédita combinação de fatores positivos e de desafios nos planos interno e internacional",24,"Papel da diplomacia"
"83",83,83," Com esses objetivos em mente, o Presidente Fernando Henrique pediu-me que acompanhasse com atenção especial alguns temas que adquirem sentido de premência e de particular importância em seu projeto de Governo",24,"Pedido de FHC"
"94",94,94," E um projeto ambicioso, mas responde ao imperativo de sermos um instrumento eficaz de um projeto de Governo comprometido com um substancial progresso econômico e social do país e com uma mudança qualitativa nas formas de operar do Estado brasileiro",24,"Diplomacia pública e outros"
"95",95,95," Sei também que o Itamaraty se renova a cada desafio, porque tem em seus quadros, permanentemente sintonizados com o mundo, a força que vem da experiência do profissionalismo e do orgulho de servir",24,"Diplomacia pública e outros"
"96",96,96," Nosso patrimônio diplomático está-se enriquecendo com o exercício regular do diálogo com a sociedade civil, através dos sindicatos e associações de classe, dos partidos políticos e do Congresso, dos formadores de opinião, do empresariado, dos meios acadêmicos, das Organizações Não-Governamentais, dos Governos dos Estados e dos Municípios",24,"Diplomacia pública e outros"
"97",97,97," Democracia e federalismo são hoje vetores da formulação e da ação diplomática",24,"Diplomacia pública e outros"
"98",98,98," Quero contribuir para aprofundar ainda mais esse processo de consolidação de urna diplomacia pública, que tanto nos beneficia",24,"Diplomacia pública e outros"
"99",99,99," Quanto maior a transparência e a capilaridade do processo de formulação e implementação da nossa diplomacia, melhor estaremos respondendo aos anseios nacionais em relação ao mundo exterior",24,"Diplomacia pública e outros"
"100",100,100," Quando fui Secretário-Geral, procurei ser, como todos, um profissional a serviço do interesse do país, um trabalhador tão dedicado quanto os funcionários mais modestos ou o colega mais novo e cheio de entusiasmo pela carreira",24,"Sobre o emissor, desafios e funcionários"
"101",101,101," Agora que volto para ocupar o posto mais alto do Itamaraty, nada mudou em minha forma de ser",24,"Sobre o emissor, desafios e funcionários"
"102",102,102," Juntos mais uma vez, estamos novamente a serviço do mesmo Chefe, o Presidente Fernando Henrique, que tanto fez e tanto fará pelo nosso Itamaraty",24,"Sobre o emissor, desafios e funcionários"
"103",103,103," Sei que posso contar com todos, meus colegas e funcionários, próximos de mim ou no mais distante posto no exterior",24,"Sobre o emissor, desafios e funcionários"
"104",104,104," Nossa Casa só pode ser a soma do que nós somos",24,"Sobre o emissor, desafios e funcionários"
"105",105,105," Quero diálogo e participação e por isso instrui meus colaboradores e toda a Chefia da Casa a buscar idéias novas, a conversar com os que estão na linha de frente do trabalho diplomático ou, nas divisões e departamentos da Secretaria de Estado, lidam diretamente com os temas, refletindo sobre eles com o conhecimento mais aprofundado e identificando melhor, por isso mesmo, os problemas, os gargalos que tolhem nossa ação e prejudicam nossa eficiência",24,"Sobre o emissor, desafios e funcionários"
"106",106,106," Amanhã, ao dar posse ao novo Secretário-Geral, ampliarei minhas idéias sobre a gestão da Casa",24,"Sobre o emissor, desafios e funcionários"
"107",107,107," No Itamaraty, o tempo é marcado pelo relógio do continuado iniciar de novas missões",24,"Sobre o emissor, desafios e funcionários"
"108",108,108," O cargo de Ministro das Relações Exteriores, que agora assumo, e a maior missão que já recebi",24,"Sobre o emissor, desafios e funcionários"
"109",109,109," Aceitei-o como uma missão de todos nós",24,"Sobre o emissor, desafios e funcionários"
"110",110,110," Por isso mesmo, como um piloto que assume o leme da nau, sinto-me a vontade para conclamar a todos, desde já, para juntos fazermos esta travessia em que o mar é desafiador, mas a marinhagem é experiente e o nosso comandante, que também já foi piloto, conhece seus caminhos",24,"Sobre o emissor, desafios e funcionários"
"111",111,111,"Muito obrigado",24,"Sobre o emissor, desafios e funcionários"
