"","linha","texto","categoria","comentarios"
"19",19,"A diplomacia voltará a refletir de modo transparente e intransigente os legítimos valores da sociedade brasileira e os interesses de sua economia, a serviço do Brasil como um todo e não mais das conveniências e preferências ideológicas de um partido político e de seus aliados no exterior",24,"PEB como política de Estado"
"20",20," A nossa política externa será regida pelos valores do Estado e da nação, não do governo e jamais de um partido",24,"Critica à politização da PEB"
"21",21," Essa nova política não romperá com as boas tradições do Itamaraty e da diplomacia brasileira, mas, ao contrário, as colocará em uso muito melhor",24,"Exaltação à tradição do Itamaraty"
"23",23,"Segunda diretriz:",24,"Diretriz 2"
"25",25,"Terceira diretriz: ",24,"Diretriz 3"
"28",28,"Quarta diretriz:  ",24,"Diretriz 4"
"31",31,"Quinta diretriz:",24,"Diretriz 5"
"38",38,"Sexta diretriz:",24,"Diretriz 6"
"42",42,"Sétima diretriz:",24,"Diretriz 7"
"47",47,"Oitava diretriz:",24,"Diretriz 8"
"58",58,"Nona diretriz:",24,"Diretriz 9"
"65",65," É importante ter a noção clara de que os diferentes eixos de relacionamento do Brasil com o mundo não são contraditórios nem excludentes, sobretudo dado o tamanho da nossa nação",24,"Não consigo identificar categoria"
"66",66," Um país do tamanho do Brasil não escolhe ou repele parcerias, busca-as todas com intensidade, inspirado no seu interesse nacional",24,"Não consigo identificar categoria"
"69",69,"Décima diretriz:",24,"Diretriz 10"
"77",77," Imagine-se o desafio que nós temos por diante",24,"Outros"
"85",85,"Dirijo-me agora ao corpo de funcionários do ministério",24,"Aos funcionários"
"86",86," Nós vamos recuperar a capacidade de ação do Itamaraty, acreditem",24,"Aos funcionários"
"87",87," Num período de grandes transformações e, por que não dizer, incertezas no cenário internacional e de promissoras mudanças internas, a nossa diplomacia, não tenho dúvida, terá de, gradualmente, atualizar-se e inovar, e até mesmo ousar, promovendo uma grande reforma modernizadora nos objetivos, métodos e técnicas de trabalho",24,"Aos funcionários"
"88",88," A diplomacia do século XXI não pode repousar apenas na exuberância da retórica e no tom auto-laudatório dos comunicados conjuntos",24,"Aos funcionários"
"89",89," Precisa ter objetivos claros e ser a um só tempo discurso político e resultado concreto",24,"Aos funcionários"
"90",90,"Os diplomatas brasileiros despertam o orgulho do país e o respeito dos parceiros do Brasil no exterior",24,"Aos funcionários"
"91",91," Quero valorizar a carreira diplomática, assim como as demais carreiras do serviço exterior",24,"Aos funcionários"
"92",92," Respeitar o critério do mérito",24,"Aos funcionários"
"93",93," Não discriminar em favor dos amigos do rei ou de correligionários de um partido político",24,"Aos funcionários"
"94",94," Quero progressivamente retirar o Itamaraty da penúria de recursos em que foi deixado pela irresponsabilidade fiscal que dominou a economia brasileira nesta década",24,"Aos funcionários"
"95",95," Quero reforçar a casa, e não enfraquecê-la",24,"Aos funcionários"
"96",96," Vamos restaurar o orgulho das novas gerações em servir ao Itamaraty e, sobretudo, ao Brasil",24,"Aos funcionários"
"97",97," A Casa será reforçada, e não enfraquecida",24,"Aos funcionários"
"98",98," E no governo do presidente Temer, o Itamaraty volta ao núcleo central do governo",24,"Aos funcionários"
"99",99,"Meu programa de ação corresponderá à minha tradição na vida pública: trabalhar muito, apresentar e receber ideias, tomar iniciativas, delegar responsabilidades, cobrar resultados e promover negociações efetivas, bem como ter presença marcante, longe de cumprir um calendário de visitas inócuas, para “cumprir tabela”",24,"Aos funcionários"
"100",100,"Estes são compromissos que apresento hoje",24,"Aos funcionários"
"101",101," Este é o convite que faço a todos os servidores desta Casa, a fim de que façamos um esforço comum para valorizar o Itamaraty e pelo êxito de um governo que enfrentará, como todos sabemos, desafios imensos, mas que criará, se Deus quiser, as condições para a reconstrução do sistema político, o fortalecimento da representatividade da nossa democracia e a volta do crescimento da produção e do emprego",24,"Aos funcionários"
"102",102,"Muito obrigado, mãos à obra, vamos em frente",24,"Agradecimentos"
