"","linha","texto","categoria","comentario"
"17",17,"Acredito que a escolha de um diplomata de carreira para o cargo de Ministro das Relações Exteriores pode ser interpretada como uma demonstração de respeito pelos quadros especializados deste Ministério e de reconhecimento por nosso compromisso com o Estado brasileiro – um Estado que se coloca cada vez mais a serviço da sociedade como um todo, e dos menos favorecidos em primeiro lugar",24,"A escolha de um diplomata de carreira para ministro"
"18",18,"Senhoras e Senhores, caros colegas",24,"Exortação"
"19",19,"Orientaremos a ação externa do Brasil preservando as conquistas dos últimos anos e construindo sobre a base sólida das realizações do Governo do Presidente Luiz Inácio Lula da Silva",24,"Orientação da PEB com base em Lula"
"20",20,"O Brasil mudou muito em relativamente pouco tempo",24,"Sobre mudança do Brasil"
"21",21," Em um ambiente de liberdade de expressão e participação crescente de setores antes excluídos no processo político, logrou-se conciliar crescimento econômico com distribuição de renda, em contexto de aprofundamento de nossa democracia",24,"Sobre mudança do Brasil"
"23",23,"Deixamos para trás o tempo em que um acúmulo de vulnerabilidades nos limitava o escopo de ação internacional",24,"Vulnerabilidades"
"24",24," Não subestimamos o muito que ainda precisamos realizar para garantir a cada brasileiro e brasileira educação e saúde de qualidade, segurança e oportunidades dignas de trabalho",24,"Sobre mudança do Brasil"
"25",25," Mas adquirimos uma autoridade natural para nos engajarmos em todos os grandes debates e processos decisórios da agenda internacional – políticos, econômicos, comerciais, ambientais, sociais, culturais",24,"Autoridade de engajamento"
"27",27,"Permaneceremos atentos para evitar que os círculos decisórios que se formam em torno das principais questões contemporâneas reproduzam as assimetrias do passado, ignorando as aspirações legítimas dos que não os integram",24,"Sem categoria de alocação"
"29",29,"Precisamos nos preparar para uma demanda por mais Brasil em todos os temas da frente externa",24,"Mais Brasil"
"31",31," Mas precisaremos continuar a formar quadros que nos garantam um nível de profundidade reflexiva autônoma e de eficácia operacional compatíveis com nosso perfil de ator global",24,"Necessidade de formação"
"34",34,"Deparamo-nos hoje com um mundo em que os consensos de outras eras são cada vez mais questionados e os antigos formadores de opinião encontram dificuldade crescente para fazer prevalecer suas idéias",24,"Dissensos e Consensos"
"38",38,"Um breve olhar sobre o mundo que nos envolve nos revelará o acerto das opções dos últimos anos na promoção de agendas de ordem sub-regional, regional e global que se complementam ao mesmo tempo em que se ampliam – o que não impede que busquemos adaptações e reconsideremos certas ênfases, em função de desdobramentos nos planos interno e externo",24,"Sem categoria"
"55",55,"Não enumerarei todas as parcerias estratégicas já estabelecidas, ou todos os mecanismos de aproximação inter-regional desenvolvidos nos últimos anos, sob a chefia do Embaixador Celso Amorim, que continuaremos a cultivar e aprimorar",24,"Outros"
"60",60,"O comparecimento à posse da Presidenta Dilma de altos representantes de uma variedade de países, vários dos quais hoje aqui presentes – sejam de nossa região, da Europa, da África, do Oriente Médio ou do Extremo Oriente –, só pode ser visto como uma manifestação recíproca do interesse de Governos de todas as partes do mundo e de todos os níveis de desenvolvimento em fortalecer seus vínculos com o Brasil",24,"Comparecimento na posse"
"64",64,"A par dos progressos já alcançados, cumpre reconhecer que muito resta por realizar para que o Brasil se afirme como o País socialmente justo e democrático com que sonhamos; para que seu lugar no mundo reflita plenamente nossa vocação para o diálogo e a cooperação",24,"Muito a se realizar"
"65",65," Em última análise, esse será sempre um projeto inacabado, em que uma geração transfere para a seguinte as suas conquistas e as aspirações ainda não realizadas",24,"Muito a se realizar"
"70",70,"Senhoras e Senhores",24,"Exorção"
"71",71,"Comprometo-me a fazer o necessário para desenvolver uma comunicação abrangente com as diferentes Pastas do Executivo com as quais não podemos deixar de trabalhar em sintonia, como Justiça, Defesa, Indústria e Comércio, Fazenda, Direitos Humanos, Meio Ambiente, entre outras",24,"Integração do Itamaraty com outros canais sociais"
"72",72," O mesmo com relação ao Legislativo e ao Judiciário e, em sentido amplo, à sociedade civil, à comunidade empresarial, ao cidadão comum",24,"Integração do Itamaraty com outros canais sociais"
"73",73," Gostaria de ver o Itamaraty em contato com todos os Estados da Federação",24,"Integração do Itamaraty com outros canais sociais"
"74",74," Na verdade, a política externa serve a todas as esferas governamentais, e a todas as regiões do País",24,"Integração do Itamaraty com outros canais sociais"
"75",75," Por essa mesma razão, não devemos ser tímidos ao postularmos a alocação de recursos adequados para levarmos adiante nosso trabalho",24,"Integração do Itamaraty com outros canais sociais"
"76",76,"Importante também dizer que devemos à opinião pública, em cada circunstância específica, esclarecimentos sobre como encaramos o mundo e em que espírito interagimos com ele",24,"Integração do Itamaraty com outros canais sociais"
"77",77," Assim contribuiremos para o debate aberto e honesto que desejamos continuar promovendo sobre nossa política externa",24,"Integração do Itamaraty com outros canais sociais"
"78",78,"Senhoras e Senhores Embaixadores, caros colegas, amigo todos",24,"Integração do Itamaraty com outros canais sociais"
"79",79,"Temos diante de nós muito trabalho, em muitas frentes",24,"Integração do Itamaraty com outros canais sociais"
"80",80," Mas herdamos um País em excelentes condições econômicas e políticas; dispomos de uma Chancelaria que inspira respeito mundo afora; nos beneficiamos de um período de liderança particularmente inspirada e criativa",24,"Integração do Itamaraty com outros canais sociais"
"81",81," Sem minimizar os desafios do futuro, quero assegurar-lhes que dedicarei minha energia física e mental, o compromisso de uma vida inteira dedicada à diplomacia e alguma sabedoria e bom humor que terei adquirido no convívio com minha mulher, Tania, e com meus filhos, Miguel e Thomas, para contribuir para um Brasil, uma América do Sul e um mundo cada vez mais prósperos, justos e democráticos",24,"Integração do Itamaraty com outros canais sociais"
"82",82,"Muito obrigado",24,"Agradecimento"
